noun,SUM_match_frequency,relFreq,relFreqREAL,total_counts
animal,39951249,0.000117655,0.000117655,340000000000
bear,6447057,0.000019,0.000019,340000000000
bedsidetable,142988,0.000000421,0.000000421,340000000000
bird,20470955,0.0000603,0.0000603,340000000000
blackbear,190399,0.000000561,0.000000561,340000000000
candy,2151372,0.00000634,0.00000634,340000000000
car,38511187,0.000113414,0.000113414,340000000000
catfish,355178,0.00000105,0.00000105,340000000000
clothing,7987510,0.0000235,0.0000235,340000000000
clownfish,10093,2.97E-008,2.97E-008,340000000000
coffeetable,361306,0.00000106,0.00000106,340000000000
convertible,123602,0.000000364,0.000000364,340000000000
daisy,1142904,0.00000337,0.00000337,340000000000
dalmatian,49602,0.000117655,0.000000146,340000000000
diningtable,183217,0.00000054,0.00000054,340000000000
dog,21789518,0.000117655,0.0000642,340000000000
dressshirt,55990,0.000000165,0.000000165,340000000000
eagle,3549006,0.0000105,0.0000105,340000000000
fish,19806893,0.0000583,0.0000583,340000000000
flower,16497919,0.0000486,0.0000486,340000000000
furniture,6098822,0.000018,0.000018,340000000000
germanshepherd,97790,0.000000288,0.000000288,340000000000
goldfish,50729,0.000000149,0.000000149,340000000000
grizzlybear,168892,0.000000497,0.000000497,340000000000
gummybears,4333,1.28E-008,1.28E-008,340000000000
hawaiishirt,101,2.97E-010,2.97E-010,340000000000
hummingbird,286394,0.000000843,0.000000843,340000000000
husky,76741,0.000000226,0.000000226,340000000000
jellybeans,57151,0.000000168,0.000000168,340000000000
mnms,54,1.59E-010,1.59E-010,340000000000
minivan,89418,0.000000263,0.000000263,340000000000
pandabear,6344,1.87E-008,1.87E-008,340000000000
parrot,900200,0.00000265,0.00000265,340000000000
picnictable,176368,0.000000519,0.000000519,340000000000
pigeon,1705901,0.00000502,0.00000502,340000000000
plant,52852109,0.000155648,0.000155648,340000000000
polarbear,230799,0.00000068,0.00000068,340000000000
poloshirt,55324,0.000000163,0.000000163,340000000000
pug,121280,0.000000357,0.000000357,340000000000
rose,8595412,0.0000253,0.0000253,340000000000
shirt,7341359,0.0000216,0.0000216,340000000000
skittles,31032,9.14E-008,9.14E-008,340000000000
snack,1505074,0.00000443,0.00000443,340000000000
sportscar,240933,0.00000071,0.00000071,340000000000
sunflower,583171,0.00000172,0.00000172,340000000000
suv,193945,0.000000571,0.000000571,340000000000
swordfish,197948,0.000000583,0.000000583,340000000000
tshirt,35541,0.000000105,0.000000105,340000000000
table,105187425,0.000309774,0.000309774,340000000000
tulip,385498,0.00000114,0.00000114,340000000000
vehicle,15734124,0.0000463,0.0000463,340000000000
