gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,typeAttributeMentioned,noAttrOrLevelMentioned,basiclevelAttributeMentioned,basiclevelMentioned,superClassMentioned,superclassattributeMentioned,utteranceContracted,oneMentioned,theMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,,notes
4517-f,1450000000000,69,subSuperTrial,distr12,sportsCar,target,4,2,car,vehicle,sedan,distrClass1,3,4,car,vehicle,ambulance,distrClass2,2,3,NA,vehicle,1,1,0,white car,,1450000000000,white car,FALSE,TRUE,FALSE,,,FALSE,,TRUE,,,,,,sportsCar,NA,NA,,,,
3293-5,1450000000000,18,subSuperTrial,distr12,coffeeTable,target,4,4,table,furniture,sideTable,distrClass1,2,2,table,furniture,bed,distrClass2,3,3,NA,furniture,3,2,1,short table___yes,coffee table?,1449256575620___1449256583966___1449256600567,short table,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,,,coffeeTable,NA,NA,,,,
2919-a,1450000000000,4,subSuperTrial,distr12,pandaBear,target,3,3,bear,animal,koalaBear,distrClass1,4,4,bear,animal,bison,distrClass2,2,2,NA,animal,1,1,0,panda,,1450000000000,panda,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,pandaBear,NA,NA,,,,
5076-0,1450000000000,31,subSuperTrial,distr12,hummingBird,target,3,3,bird,animal,sparrow,distrClass1,4,2,bird,animal,bison,distrClass2,2,4,NA,animal,1,1,0,Hummingbird,,1450000000000,Hummingbird,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,hummingBird,NA,NA,,,,
5628-2,1450000000000,11,subSuperTrial,distr12,polarBear,target,3,4,bear,animal,koalaBear,distrClass1,2,3,bear,animal,bison,distrClass2,4,2,NA,animal,1,1,0,polar bear,,1450000000000,polar bear,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,polarBear,NA,NA,,,,
4517-f,1450000000000,41,subSuperTrial,distr12,convertible,target,2,4,car,vehicle,sedan,distrClass1,4,2,car,vehicle,ambulance,distrClass2,3,3,NA,vehicle,1,1,0,top down car,,1450000000000,top down car,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,convertible,NA,NA,,,,
2195-2,1450000000000,23,subSuperTrial,distr12,suv,target,2,4,car,vehicle,sedan,distrClass1,3,3,car,vehicle,ambulance,distrClass2,4,2,NA,vehicle,1,1,0,WHITE SUV,,1450000000000,WHITE SUV,FALSE,TRUE,TRUE,,,FALSE,,,,,,,,suv,NA,NA,,,,
4393-a,1450000000000,64,subSuperTrial,distr12,tShirt,target,4,2,shirt,clothing,campShirt,distrClass1,3,3,shirt,clothing,bathrobe,distrClass2,2,4,NA,clothing,1,1,0,t-shirt,,1450000000000,t-shirt,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,tShirt,NA,NA,,,,
8684-3,1450000000000,44,subSuperTrial,distr12,picnicTable,target,4,3,table,furniture,sideTable,distrClass1,2,4,table,furniture,bed,distrClass2,3,2,NA,furniture,1,1,0,can sit and eat at it,,1450000000000,can sit and eat at it,FALSE,FALSE,FALSE,,,FALSE,TRUE,,,,,,,picnicTable,NA,NA,,,,
4842-f,1450000000000,3,subSuperTrial,distr12,coffeeTable,target,4,3,table,furniture,sideTable,distrClass1,3,4,table,furniture,bed,distrClass2,2,2,NA,furniture,3,1,2,something id put my feet on when play xbox,?___ok,1449259638495___1449259638800___1449259645692,something id put my feet on when play xbox,FALSE,FALSE,FALSE,TRUE,,x,,,,,,,,coffeeTable,NA,NA,,,,
4517-f,1450000000000,7,subSuperTrial,distr12,goldFish,target,2,3,fish,animal,discusFish,distrClass1,3,4,fish,animal,bison,distrClass2,4,2,NA,animal,2,2,0,im confused this is so easy___goldfish,,1449255199408___1449255200217,im confused this is so easy,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,goldFish,NA,NA,,,,
