"","X.1","gameid","time","roundNum","trialType","condition","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","basiclevelClickedObj","superdomainClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt1Basiclevel","alt1superdomain","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","alt2Basiclevel","alt2superdomain","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","sizeMentioned","colorMentioned","typeMentioned","otherFeatureMentioned","typeAttributeMentioned","noAttrOrLevelMentioned","noLevelMentioned","basiclevelAttributeMentioned","basiclevelMentioned","superClassMentioned","superclassattributeMentioned","utteranceContracted","oneMentioned","theMentioned","clickedType","clickedSize","clickedColor","colorPreNominal","sizePreNominal","X","notes"
"1",1,"4517-f",1.45e+12,69,"subSuperTrial","distr12","sportsCar","target",4,2,"car","vehicle","sedan","distrClass1",3,4,"car","vehicle","ambulance","distrClass2",2,3,NA,"vehicle",1,1,0,"white car","","1450000000000","white car",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"sportsCar",NA,NA,NA,NA,NA,""
"2",2,"3293-5",1.45e+12,18,"subSuperTrial","distr12","coffeeTable","target",4,4,"table","furniture","sideTable","distrClass1",2,2,"table","furniture","bed","distrClass2",3,3,NA,"furniture",3,2,1,"short table___yes","coffee table?","1449256575620___1449256583966___1449256600567","short table",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"coffeeTable",NA,NA,NA,NA,NA,""
"3",3,"2919-a",1.45e+12,4,"subSuperTrial","distr12","pandaBear","target",3,3,"bear","animal","koalaBear","distrClass1",4,4,"bear","animal","bison","distrClass2",2,2,NA,"animal",1,1,0,"panda","","1450000000000","panda",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"pandaBear",NA,NA,NA,NA,NA,""
"4",4,"5076-0",1.45e+12,31,"subSuperTrial","distr12","hummingBird","target",3,3,"bird","animal","sparrow","distrClass1",4,2,"bird","animal","bison","distrClass2",2,4,NA,"animal",1,1,0,"Hummingbird","","1450000000000","Hummingbird",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"hummingBird",NA,NA,NA,NA,NA,""
"5",5,"5628-2",1.45e+12,11,"subSuperTrial","distr12","polarBear","target",3,4,"bear","animal","koalaBear","distrClass1",2,3,"bear","animal","bison","distrClass2",4,2,NA,"animal",1,1,0,"polar bear","","1450000000000","polar bear",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"polarBear",NA,NA,NA,NA,NA,""
"6",6,"4517-f",1.45e+12,41,"subSuperTrial","distr12","convertible","target",2,4,"car","vehicle","sedan","distrClass1",4,2,"car","vehicle","ambulance","distrClass2",3,3,NA,"vehicle",1,1,0,"top down car","","1450000000000","top down car",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"convertible",NA,NA,NA,NA,NA,""
"7",7,"2195-2",1.45e+12,23,"subSuperTrial","distr12","suv","target",2,4,"car","vehicle","sedan","distrClass1",3,3,"car","vehicle","ambulance","distrClass2",4,2,NA,"vehicle",1,1,0,"WHITE SUV","","1450000000000","WHITE SUV",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"suv",NA,NA,NA,NA,NA,""
"8",8,"4393-a",1.45e+12,64,"subSuperTrial","distr12","tShirt","target",4,2,"shirt","clothing","campShirt","distrClass1",3,3,"shirt","clothing","bathrobe","distrClass2",2,4,NA,"clothing",1,1,0,"t-shirt","","1450000000000","t-shirt",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"tShirt",NA,NA,NA,NA,NA,""
"10",11,"4517-f",1.45e+12,7,"subSuperTrial","distr12","goldFish","target",2,3,"fish","animal","discusFish","distrClass1",3,4,"fish","animal","bison","distrClass2",4,2,NA,"animal",2,2,0,"im confused this is so easy___goldfish","","1449255199408___1449255200217","im confused this is so easy",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"goldFish",NA,NA,NA,NA,NA,""
"11",12,"2919-a",1.45e+12,27,"subSuperTrial","distr12","pug","target",3,3,"dog","animal","greyhound","distrClass1",4,2,"dog","animal","bison","distrClass2",2,4,NA,"animal",1,1,0,"pug","","1450000000000","pug",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"pug",NA,NA,NA,NA,NA,""
"12",14,"2195-2",1.45e+12,10,"subSuperTrial","distr12","minivan","target",4,2,"car","vehicle","sedan","distrClass1",3,4,"car","vehicle","ambulance","distrClass2",2,3,NA,"vehicle",1,1,0,"WHITE VAN","","1450000000000","WHITE VAN",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"minivan",NA,NA,NA,NA,NA,""
"13",17,"9807-5",1.45e+12,29,"subSuperTrial","distr12","skittles","target",4,2,"candy","snack","candyCorn","distrClass1",2,3,"candy","snack","cookies","distrClass2",3,4,NA,"snack",1,1,0,"skittles","","1450000000000","skittles",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"skittles",NA,NA,NA,NA,NA,""
"14",18,"1223-7",1.45e+12,55,"subSuperTrial","distr12","catfish","target",2,3,"fish","animal","discusFish","distrClass1",3,4,"fish","animal","cow","distrClass2",4,2,NA,"animal",1,1,0,"cat fish","","1450000000000","cat fish",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"catfish",NA,NA,NA,NA,NA,""
"15",19,"4517-f",1.45e+12,11,"subSuperTrial","distr12","polarBear","target",3,4,"bear","animal","koalaBear","distrClass1",2,2,"bear","animal","cow","distrClass2",4,3,NA,"animal",1,1,0,"polar bear","","1450000000000","polar bear",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"polarBear",NA,NA,NA,NA,NA,""
"16",20,"2195-2",1.45e+12,72,"subSuperTrial","distr12","pigeon","target",3,4,"bird","animal","sparrow","distrClass1",2,2,"bird","animal","crocodile","distrClass2",4,3,NA,"animal",1,1,0,"PIGEON","","1450000000000","PIGEON",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"pigeon",NA,NA,NA,NA,NA,""
"17",21,"8258-f",1.45e+12,24,"subSuperTrial","distr12","pandaBear","target",3,4,"bear","animal","koalaBear","distrClass1",4,3,"bear","animal","elephant","distrClass2",2,2,NA,"animal",1,1,0,"panda","","1450000000000","panda",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"pandaBear",NA,NA,NA,NA,NA,""
"18",22,"8258-f",1.45e+12,49,"subSuperTrial","distr12","eagle","target",3,2,"bird","animal","sparrow","distrClass1",2,3,"bird","animal","elephant","distrClass2",4,4,NA,"animal",2,2,0,"eagle___eagle","","1449254733149___1449254734173","eagle",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"eagle",NA,NA,NA,NA,NA,""
"19",24,"4452-5",1.45e+12,50,"subSuperTrial","distr12","rose","target",2,3,"flower","plant","lily","distrClass1",3,4,"flower","plant","grasses","distrClass2",4,2,NA,"plant",1,1,0,"rose","","1450000000000","rose",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"rose",NA,NA,NA,NA,NA,""
"20",26,"3293-5",1.45e+12,3,"subSuperTrial","distr12","germanShepherd","target",4,3,"dog","animal","greyhound","distrClass1",3,2,"dog","animal","lion","distrClass2",2,4,NA,"animal",5,3,2,"dog___black___pointy","there are 2___tell me about the ears","1449256239712___1449256256785___1449256259118___1449256278376___1449256287527","dog",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"germanShepherd",NA,NA,NA,NA,NA,""
"21",27,"5975-e",1.45e+12,6,"subSuperTrial","distr12","daisy","target",4,2,"flower","plant","lily","distrClass1",3,4,"flower","plant","rosemary","distrClass2",2,3,NA,"plant",1,1,0,"fower with yellow center","","1450000000000","fower with yellow center",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"daisy",NA,NA,NA,NA,NA,""
"23",30,"0198-d",1.45e+12,28,"subSuperTrial","distr12","coffeeTable","target",4,4,"table","furniture","sideTable","distrClass1",3,2,"table","furniture","bookcase","distrClass2",2,3,NA,"furniture",1,1,0,"short table","","1450000000000","short table",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"coffeeTable",NA,NA,NA,NA,NA,""
"24",31,"3504-8",1.45e+12,51,"subSuperTrial","distr12","picnicTable","target",2,2,"table","furniture","sideTable","distrClass1",4,3,"table","furniture","bookcase","distrClass2",3,4,NA,"furniture",1,1,0,"picnic table","","1450000000000","picnic table",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"picnicTable",NA,NA,NA,NA,NA,""
"25",32,"7830-a",1.45e+12,35,"subSuperTrial","distr12","coffeeTable","target",4,3,"table","furniture","sideTable","distrClass1",3,4,"table","furniture","bookcase","distrClass2",2,2,NA,"furniture",1,1,0,"coffee","","1450000000000","coffee",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,"coffeeTable",NA,NA,NA,NA,NA,""
"26",33,"2195-2",1.45e+12,17,"subSuperTrial","distr12","husky","target",2,2,"dog","animal","greyhound","distrClass1",3,4,"dog","animal","chick","distrClass2",4,3,NA,"animal",1,1,0,"WOLF","","1450000000000","WOLF",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"husky",NA,NA,NA,NA,NA,""
"27",34,"3293-5",1.45e+12,47,"subSuperTrial","distr12","mnMs","target",4,2,"candy","snack","candyCorn","distrClass1",3,4,"candy","snack","chips","distrClass2",2,3,NA,"snack",1,1,0,"m & m","","1450000000000","m & m",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"mnMs",NA,NA,NA,NA,NA,""
"29",36,"0198-d",1.45e+12,40,"subSuperTrial","distr12","grizzlyBear","target",3,4,"bear","animal","koalaBear","distrClass1",4,2,"bear","animal","cow","distrClass2",2,3,NA,"animal",1,1,0,"bear","","1450000000000","bear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"grizzlyBear",NA,NA,NA,NA,NA,""
"30",37,"5975-e",1.45e+12,36,"subSuperTrial","distr12","hawaiiShirt","target",2,4,"shirt","clothing","campShirt","distrClass1",4,2,"shirt","clothing","dress","distrClass2",3,3,NA,"clothing",1,1,0,"hawiian","","1450000000000","hawiian",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,"hawaiiShirt",NA,NA,NA,NA,NA,""
"31",38,"6456-4",1.45e+12,32,"subSuperTrial","distr12","sportsCar","target",2,2,"car","vehicle","sedan","distrClass1",3,4,"car","vehicle","firetruck","distrClass2",4,3,NA,"vehicle",1,1,0,"silver car","","1450000000000","silver car",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"sportsCar",NA,NA,NA,NA,NA,""
"32",39,"4452-5",1.45e+12,26,"subSuperTrial","distr12","sportsCar","target",4,2,"car","vehicle","sedan","distrClass1",3,4,"car","vehicle","firetruck","distrClass2",2,3,NA,"vehicle",1,1,0,"silver sportscar","","1450000000000","silver sportscar",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"sportsCar",NA,NA,NA,NA,NA,""
"33",40,"9807-5",1.45e+12,14,"subSuperTrial","distr12","poloShirt","target",2,3,"shirt","clothing","campShirt","distrClass1",3,2,"shirt","clothing","gloves","distrClass2",4,4,NA,"clothing",1,1,0,"polo shirt","","1450000000000","polo shirt",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"poloShirt",NA,NA,NA,NA,NA,""
"35",43,"3695-5",1.45e+12,45,"subSuperTrial","distr12","goldFish","target",2,2,"fish","animal","discusFish","distrClass1",4,4,"fish","animal","horse","distrClass2",3,3,NA,"animal",1,1,0,"goldfish","","1450000000000","goldfish",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"goldFish",NA,NA,NA,NA,NA,""
"36",44,"0198-d",1.45e+12,53,"subSuperTrial","distr12","catfish","target",4,3,"fish","animal","discusFish","distrClass1",3,4,"fish","animal","iguana","distrClass2",2,2,NA,"animal",1,1,0,"catfish","","1450000000000","catfish",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"catfish",NA,NA,NA,NA,NA,""
"38",47,"5628-2",1.45e+12,70,"subSuperTrial","distr12","pandaBear","target",3,3,"bear","animal","koalaBear","distrClass1",2,4,"bear","animal","kitten","distrClass2",4,2,NA,"animal",1,1,0,"bear","","1450000000000","bear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"pandaBear",NA,NA,NA,NA,NA,""
