gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,speakerMessages,listenerMessages,messageTimeStamps,refExp,clickedType,sub,basic,super,moreThanOneLevelMentioned,automaticallyLabelledTrial,manualAdditionTrial,additionalAttrMentioned,onlyAttrMentioned,onlySubAttr,onlyBasicAttr,onlySuperAttr,onlyOtherAttr,oneMentioned,theMentioned,fullSentence,noLevelMentioned,subAllAttr,basicAllAttr,superAllAttr,X,X.1,X.2,X.3,X.4,X.5,X.6,X.7,
26,2298-c,1455301162966,52,subSuperTrial,basic22,germanShepherd,target,3,2,dog,animal,iguana,distractor,2,3,NA,animal,squirrel,distractor,4,4,NA,animal,Dog,,1455301162002,Dog,germanShepherd,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
43,2662-0,1455301130189,18,subSuperTrial,basic22,husky,target,4,2,dog,animal,rabbit,distractor,2,4,NA,animal,sheep,distractor,3,3,NA,animal,canine,,1455301128579,canine,husky,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
67,2662-0,1455301567270,63,subSuperTrial,basic23,dalmatian,target,2,2,dog,animal,train,distractor,3,3,NA,vehicle,sheep,distractor,4,4,NA,animal,dog,,1455301565777,dog,dalmatian,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
69,2662-0,1455301590918,66,subSuperTrial,basic22,pug,target,3,3,dog,animal,horse,distractor,4,2,NA,animal,lion,distractor,2,4,NA,animal,dog,,1455301589528,dog,pug,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
71,2662-0,1455301632970,71,subSuperTrial,basic33,germanShepherd,target,3,4,dog,animal,train,distractor,4,3,NA,vehicle,pottedPlant,distractor,2,2,NA,plant,dog,,1455301631681,dog,germanShepherd,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
78,4633-0,1455301114183,17,subSuperTrial,basic12,husky,target,4,3,dog,animal,rhino,distractor,3,2,NA,animal,greyhound,distractor,2,4,dog,animal,wolf looking dog,,1455301111906,wolf looking dog,husky,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
80,4633-0,1455301143799,19,subSuperTrial,basic22,dalmatian,target,2,4,dog,animal,squirrel,distractor,4,2,NA,animal,snake,distractor,3,3,NA,animal,dog,,1455301142232,dog,dalmatian,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
84,4633-0,1455301251867,30,subSuperTrial,basic12,germanShepherd,target,4,2,dog,animal,greyhound,distractor,3,3,dog,animal,pig,distractor,2,4,NA,animal,smaller dog___other,the skinny one or the other one,1455301225072___1455301241962___1455301249857,smaller dog,germanShepherd,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
124,1997-d,1455301289893,47,subSuperTrial,basic33,pug,target,4,2,dog,animal,pretzels,distractor,2,4,NA,snack,socks,distractor,3,3,NA,clothing,dog,,1455301288275,dog,pug,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
148,8691-5,1455301150922,30,subSuperTrial,basic22,dalmatian,target,3,4,dog,animal,bison,distractor,2,2,NA,animal,rabbit,distractor,4,3,NA,animal,dog,,1455301148895,dog,dalmatian,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
153,8691-5,1455301210087,42,subSuperTrial,basic22,husky,target,3,4,dog,animal,iguana,distractor,2,3,NA,animal,crocodile,distractor,4,2,NA,animal,dog,,1455301208688,dog,husky,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
160,8691-5,1455301268372,53,subSuperTrial,basic33,germanShepherd,target,4,2,dog,animal,dress,distractor,2,4,NA,clothing,ivy,distractor,3,3,NA,plant,dog,,1455301266853,dog,germanShepherd,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
167,8691-5,1455301340759,66,subSuperTrial,basic22,pug,target,2,2,dog,animal,horse,distractor,3,3,NA,animal,crocodile,distractor,4,4,NA,animal,dog,,1455301338998,dog,pug,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
184,3791-8,1455301399160,33,subSuperTrial,basic23,germanShepherd,target,2,3,dog,animal,bison,distractor,3,2,NA,animal,chips,distractor,4,4,NA,snack,dog,,1455301397597,dog,germanShepherd,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
188,3791-8,1455301451222,40,subSuperTrial,basic23,pug,target,4,3,dog,animal,ambulance,distractor,3,2,NA,vehicle,squirrel,distractor,2,4,NA,animal,dog,,1455301450078,dog,pug,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
214,5664-b,1455301143572,15,subSuperTrial,basic22,germanShepherd,target,3,4,dog,animal,sheep,distractor,2,3,NA,animal,iguana,distractor,4,2,NA,animal,dog,,1455301141534,dog,germanShepherd,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
219,5664-b,1455301204205,24,subSuperTrial,basic12,pug,target,3,2,dog,animal,greyhound,distractor,4,4,dog,animal,kitten,distractor,2,3,NA,animal,small dog,,1455301202026,small dog,pug,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
238,5664-b,1455301438685,61,subSuperTrial,basic23,dalmatian,target,2,3,dog,animal,ivy,distractor,3,2,NA,plant,lobster,distractor,4,4,NA,animal,dog,,1455301437271,dog,dalmatian,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
241,5664-b,1455301525421,71,subSuperTrial,basic23,husky,target,4,3,dog,animal,lobster,distractor,3,4,NA,animal,cookies,distractor,2,2,NA,snack,dog,,1455301524076,dog,husky,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
