gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,speakerMessages,listenerMessages,messageTimeStamps,refExp,clickedType,sub,basic,super,moreThanOneLevelMentioned,automaticallyLabelledTrial,manualAdditionTrial,additionalAttrMentioned,onlyAttrMentioned,onlySubAttr,onlyBasicAttr,onlySuperAttr,onlyOtherAttr,oneMentioned,theMentioned,fullSentence,noLevelMentioned,subAllAttr,basicAllAttr,superAllAttr,X,X.1,X.2,X.3,X.4,X.5,X.6,X.7,
13,2298-c,1455301053128,28,subSuperTrial,basic33,tulip,target,4,2,flower,plant,horse,distractor,2,3,NA,animal,socks,distractor,3,4,NA,clothing,Flower,,1455301052093,Flower,tulip,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
27,2298-c,1455301166844,53,subSuperTrial,basic33,daisy,target,3,3,flower,plant,cow,distractor,2,4,NA,animal,gloves,distractor,4,2,NA,clothing,Flower,,1455301165902,Flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
39,2662-0,1455301058081,10,subSuperTrial,basic33,sunflower,target,2,2,flower,plant,wardrobe,distractor,3,3,NA,furniture,rabbit,distractor,4,4,NA,animal,flower,,1455301056715,flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
53,2662-0,1455301314465,34,subSuperTrial,basic23,daisy,target,3,3,flower,plant,crocodile,distractor,2,2,NA,animal,ivy,distractor,4,4,NA,plant,flower,,1455301313238,flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
103,1997-d,1455301051099,11,subSuperTrial,basic23,tulip,target,3,3,flower,plant,popcorn,distractor,4,4,NA,snack,pottedPlant,distractor,2,2,NA,plant,flower,,1455301048899,flower,tulip,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
113,1997-d,1455301192436,31,subSuperTrial,basic33,sunflower,target,2,3,flower,plant,snake,distractor,3,4,NA,animal,pretzels,distractor,4,2,NA,snack,flower,,1455301190762,flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
116,1997-d,1455301232093,37,subSuperTrial,basic23,rose,target,3,3,flower,plant,snake,distractor,4,4,NA,animal,ivy,distractor,2,2,NA,plant,flower,,1455301230632,flower,rose,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
127,1997-d,1455301322539,52,subSuperTrial,basic22,daisy,target,4,4,flower,plant,pottedPlant,distractor,3,2,NA,plant,rosemary,distractor,2,3,NA,plant,flower,,1455301321062,flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
139,8691-5,1455301024367,9,subSuperTrial,basic12,sunflower,target,2,4,flower,plant,grasses,distractor,4,3,NA,plant,lily,distractor,3,2,flower,plant,yellow flower,,1455301022837,yellow flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
181,3791-8,1455301347051,27,subSuperTrial,basic33,tulip,target,4,4,flower,plant,lion,distractor,3,2,NA,animal,bookcase,distractor,2,3,NA,furniture,flower,,1455301343665,flower,tulip,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
191,3791-8,1455301514342,48,subSuperTrial,basic23,sunflower,target,2,4,flower,plant,chips,distractor,4,2,NA,snack,ivy,distractor,3,3,NA,plant,flower,,1455301512932,flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
204,3791-8,1455301668017,69,subSuperTrial,basic22,daisy,target,2,4,flower,plant,pottedPlant,distractor,4,2,NA,plant,rosemary,distractor,3,3,NA,plant,flower,,1455301666372,flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
224,5664-b,1455301290776,38,subSuperTrial,basic23,sunflower,target,3,2,flower,plant,pottedPlant,distractor,2,3,NA,plant,iguana,distractor,4,4,NA,animal,flower,,1455301289262,flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
237,5664-b,1455301412900,56,subSuperTrial,basic33,daisy,target,3,2,flower,plant,hamster,distractor,4,4,NA,animal,firetruck,distractor,2,3,NA,vehicle,flower,,1455301411427,flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
250,0082-3,1455301423694,14,subSuperTrial,basic23,rose,target,2,2,flower,plant,popcorn,distractor,4,3,NA,snack,pottedPlant,distractor,3,4,NA,plant,floer,,1455301422003,floer,rose,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
252,0082-3,1455301465251,18,subSuperTrial,basic23,tulip,target,4,2,flower,plant,rosemary,distractor,3,4,NA,plant,cow,distractor,2,3,NA,animal,flowerr,,1455301462583,flowerr,tulip,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
261,0082-3,1455301654794,37,subSuperTrial,basic22,daisy,target,4,4,flower,plant,pottedPlant,distractor,2,2,NA,plant,rosemary,distractor,3,3,NA,plant,slowerr___flower,,1455301647205___1455301651006,slowerr,daisy,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
267,0082-3,1455301798334,49,subSuperTrial,basic23,sunflower,target,2,4,flower,plant,ivy,distractor,4,3,NA,plant,pig,distractor,3,2,NA,animal,flower,,1455301795556,flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
279,9165-a,1455301041191,1,subSuperTrial,basic22,sunflower,target,2,3,flower,plant,ivy,distractor,3,4,NA,plant,pottedPlant,distractor,4,2,NA,plant,flower,,1455301038157,flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
324,1749-c,1455301119590,20,subSuperTrial,basic33,sunflower,target,2,3,flower,plant,pig,distractor,3,4,NA,animal,train,distractor,4,2,NA,vehicle,flower,,1455301117599,flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
330,1749-c,1455301185495,30,subSuperTrial,basic23,daisy,target,4,2,flower,plant,rosemary,distractor,3,3,NA,plant,firetruck,distractor,2,4,NA,vehicle,flower,,1455301184187,flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
358,4242-5,1455301216799,14,subSuperTrial,basic23,tulip,target,3,3,flower,plant,rosemary,distractor,2,2,NA,plant,rhino,distractor,4,4,NA,animal,the red flower,,1455301214071,the red flower,tulip,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
383,4242-5,1455301746775,67,subSuperTrial,basic12,sunflower,target,3,3,flower,plant,lily,distractor,2,2,flower,plant,rosemary,distractor,4,4,NA,plant,the yellow flower,,1455301745605,the yellow flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
387,9973-0,1455301055446,3,subSuperTrial,basic23,rose,target,4,3,flower,plant,horse,distractor,2,4,NA,animal,grasses,distractor,3,2,NA,plant,flower,,1455301054459,flower,rose,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
394,9973-0,1455301156246,21,subSuperTrial,basic33,tulip,target,4,2,flower,plant,cow,distractor,3,4,NA,animal,socks,distractor,2,3,NA,clothing,flower,,1455301155160,flower,tulip,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
415,9973-0,1455301400185,60,subSuperTrial,basic33,sunflower,target,4,3,flower,plant,bison,distractor,2,4,NA,animal,cookies,distractor,3,2,NA,snack,flower,,1455301399247,flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
417,9973-0,1455301416162,63,subSuperTrial,basic33,daisy,target,2,2,flower,plant,ambulance,distractor,3,4,NA,vehicle,horse,distractor,4,3,NA,animal,flower,,1455301415192,flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
431,4855-c,1455301258095,22,subSuperTrial,basic22,daisy,target,2,4,flower,plant,rosemary,distractor,4,2,NA,plant,ivy,distractor,3,3,NA,plant,flower,,1455301256494,flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
457,4855-c,1455301606060,70,subSuperTrial,basic23,sunflower,target,2,4,flower,plant,kitten,distractor,3,3,NA,animal,ivy,distractor,4,2,NA,plant,flower,,1455301604725,flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
458,4855-c,1455301615967,72,subSuperTrial,basic33,rose,target,2,2,flower,plant,socks,distractor,4,3,NA,clothing,pretzels,distractor,3,4,NA,snack,flower,,1455301614474,flower,rose,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
495,6879-8,1455301165558,2,subSuperTrial,basic12,sunflower,target,2,4,flower,plant,pottedPlant,distractor,4,2,NA,plant,lily,distractor,3,3,flower,plant,yellow flower,,1455301157579,yellow flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
