"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"77"	"4633-0"	1455301016739	9	"subSuperTrial"	"basic23"	"jellyBeans"	"target"	3	4	"candy"	"snack"	"popcorn"	"distractor"	2	3	NA	"snack"	"bookcase"	"distractor"	4	2	NA	"furniture"	"jellybean"	""	"1455301015110"	"jellybean"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"140"	"8691-5"	1455301035983	11	"subSuperTrial"	"basic12"	"jellyBeans"	"target"	2	4	"candy"	"snack"	"popcorn"	"distractor"	4	2	NA	"snack"	"candyCorn"	"distractor"	3	3	"candy"	"snack"	"jelly beans"	""	"1455301034488"	"jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"206"	"3791-8"	1455301691960	72	"subSuperTrial"	"basic33"	"jellyBeans"	"target"	2	4	"candy"	"snack"	"bed"	"distractor"	3	2	NA	"furniture"	"bison"	"distractor"	4	3	NA	"animal"	"jeli"	""	"1455301690996"	"jeli"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"235"	"5664-b"	1455301397213	53	"subSuperTrial"	"basic33"	"jellyBeans"	"target"	2	2	"candy"	"snack"	"crocodile"	"distractor"	4	4	NA	"animal"	"wardrobe"	"distractor"	3	3	NA	"furniture"	"jelly beans"	""	"1455301395795"	"jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"308"	"9165-a"	1455301455669	59	"subSuperTrial"	"basic22"	"jellyBeans"	"target"	4	2	"candy"	"snack"	"chips"	"distractor"	2	3	NA	"snack"	"pretzels"	"distractor"	3	4	NA	"snack"	"jelly beans"	""	"1455301454566"	"jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"401"	"9973-0"	1455301244531	36	"subSuperTrial"	"basic12"	"jellyBeans"	"target"	2	3	"candy"	"snack"	"candyCorn"	"distractor"	4	2	"candy"	"snack"	"pretzels"	"distractor"	3	4	NA	"snack"	"jellybeans"	""	"1455301241959"	"jellybeans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"436"	"4855-c"	1455301332683	32	"subSuperTrial"	"basic33"	"jellyBeans"	"target"	3	2	"candy"	"snack"	"firetruck"	"distractor"	2	3	NA	"vehicle"	"ivy"	"distractor"	4	4	NA	"plant"	"jellybeans"	""	"1455301331359"	"jellybeans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"463"	"4886-d"	1455301217616	13	"subSuperTrial"	"basic33"	"jellyBeans"	"target"	4	3	"candy"	"snack"	"motorcycle"	"distractor"	3	2	NA	"vehicle"	"bookcase"	"distractor"	2	4	NA	"furniture"	"je bean"	""	"1455301216222"	"je bean"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"520"	"6879-8"	1455301383049	45	"subSuperTrial"	"basic23"	"jellyBeans"	"target"	3	2	"candy"	"snack"	"popcorn"	"distractor"	4	4	NA	"snack"	"rabbit"	"distractor"	2	3	NA	"animal"	"jellybean"	""	"1455301381715"	"jellybean"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"574"	"5222-f"	1455301409032	17	"subSuperTrial"	"basic12"	"jellyBeans"	"target"	3	2	"candy"	"snack"	"candyCorn"	"distractor"	2	4	"candy"	"snack"	"chips"	"distractor"	4	3	NA	"snack"	"jelly beans"	""	"1455301407374"	"jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
