"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"25"	"2298-c"	1455301159028	51	"subSuperTrial"	"basic22"	"pug"	"target"	2	3	"dog"	"animal"	"iguana"	"distractor"	4	4	NA	"animal"	"horse"	"distractor"	3	2	NA	"animal"	"Pug"	""	"1455301157565"	"Pug"	"pug"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"74"	"4633-0"	1455300971259	4	"subSuperTrial"	"basic22"	"pug"	"target"	3	2	"dog"	"animal"	"elephant"	"distractor"	2	3	NA	"animal"	"pig"	"distractor"	4	4	NA	"animal"	"pug"	""	"1455300969929"	"pug"	"pug"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"398"	"9973-0"	1455301198527	28	"subSuperTrial"	"basic22"	"pug"	"target"	3	2	"dog"	"animal"	"horse"	"distractor"	2	3	NA	"animal"	"rhino"	"distractor"	4	4	NA	"animal"	"pug"	""	"1455301197131"	"pug"	"pug"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"578"	"5222-f"	1455301512995	33	"subSuperTrial"	"basic12"	"pug"	"target"	2	3	"dog"	"animal"	"pig"	"distractor"	4	2	NA	"animal"	"greyhound"	"distractor"	3	4	"dog"	"animal"	"pug dog"	""	"1455301511417"	"pug dog"	"pug"	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"649"	"4810-9"	1455301576957	25	"subSuperTrial"	"basic12"	"pug"	"target"	2	3	"dog"	"animal"	"greyhound"	"distractor"	4	2	"dog"	"animal"	"squirrel"	"distractor"	3	4	NA	"animal"	"pug"	""	"1455301575021"	"pug"	"pug"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"721"	"3084-5"	1455302406823	63	"subSuperTrial"	"basic23"	"pug"	"target"	4	4	"dog"	"animal"	"pig"	"distractor"	2	2	NA	"animal"	"wardrobe"	"distractor"	3	3	NA	"furniture"	"dog/pug"	""	"1455302404007"	"dog/pug"	"pug"	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"961"	"0327-7"	1455301880603	36	"subSuperTrial"	"basic12"	"pug"	"target"	2	3	"dog"	"animal"	"greyhound"	"distractor"	3	2	"dog"	"animal"	"crocodile"	"distractor"	4	4	NA	"animal"	"pug"	""	"1455301878303"	"pug"	"pug"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"980"	"7949-f"	1455301798056	6	"subSuperTrial"	"basic22"	"pug"	"target"	3	2	"dog"	"animal"	"pig"	"distractor"	4	4	NA	"animal"	"lobster"	"distractor"	2	3	NA	"animal"	"pug"	""	"1455301796627"	"pug"	"pug"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1087"	"6426-3"	1455301963183	3	"subSuperTrial"	"basic12"	"pug"	"target"	2	2	"dog"	"animal"	"kitten"	"distractor"	3	3	NA	"animal"	"greyhound"	"distractor"	4	4	"dog"	"animal"	"pug dog with black ears and muzzle that is standing up"	""	"1455301958873"	"pug dog with black ears and muzzle that is standing up"	"pug"	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1168"	"1897-b"	1455302065058	3	"subSuperTrial"	"basic12"	"pug"	"target"	4	3	"dog"	"animal"	"greyhound"	"distractor"	3	4	"dog"	"animal"	"cow"	"distractor"	2	2	NA	"animal"	"it is the pug"	""	"1455302062694"	"it is the pug"	"pug"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
