"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"1"	"2298-c"	1455300904392	2	"subSuperTrial"	"basic23"	"suv"	"target"	2	3	"car"	"vehicle"	"ambulance"	"distractor"	3	4	NA	"vehicle"	"pottedPlant"	"distractor"	4	2	NA	"plant"	"SUV"	""	"1455300901773"	"SUV"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"2298-c"	1455300989982	14	"subSuperTrial"	"basic12"	"picnicTable"	"target"	4	3	"table"	"furniture"	"sideTable"	"distractor"	3	2	"table"	"furniture"	"bed"	"distractor"	2	4	NA	"furniture"	"Picnic table"	""	"1455300988582"	"Picnic table"	"picnicTable"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"2298-c"	1455300999612	16	"subSuperTrial"	"basic12"	"husky"	"target"	4	3	"dog"	"animal"	"greyhound"	"distractor"	3	2	"dog"	"animal"	"hamster"	"distractor"	2	4	NA	"animal"	"Wolf"	""	"1455300997858"	"Wolf"	"husky"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"6"	"2298-c"	1455301004485	17	"subSuperTrial"	"basic33"	"parrot"	"target"	2	2	"bird"	"animal"	"train"	"distractor"	4	4	NA	"vehicle"	"bookcase"	"distractor"	3	3	NA	"furniture"	"Parrot"	""	"1455301003283"	"Parrot"	"parrot"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"14"	"2298-c"	1455301060613	29	"subSuperTrial"	"basic22"	"convertible"	"target"	4	3	"car"	"vehicle"	"motorcycle"	"distractor"	2	2	NA	"vehicle"	"firetruck"	"distractor"	3	4	NA	"vehicle"	"Convertible"	""	"1455301059371"	"Convertible"	"convertible"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"19"	"2298-c"	1455301109975	40	"subSuperTrial"	"basic23"	"rose"	"target"	4	4	"flower"	"plant"	"elephant"	"distractor"	3	3	NA	"animal"	"pottedPlant"	"distractor"	2	2	NA	"plant"	"Rose"	""	"1455301108565"	"Rose"	"rose"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"25"	"2298-c"	1455301159028	51	"subSuperTrial"	"basic22"	"pug"	"target"	2	3	"dog"	"animal"	"iguana"	"distractor"	4	4	NA	"animal"	"horse"	"distractor"	3	2	NA	"animal"	"Pug"	""	"1455301157565"	"Pug"	"pug"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"29"	"2298-c"	1455301181222	55	"subSuperTrial"	"basic12"	"pandaBear"	"target"	4	2	"bear"	"animal"	"bison"	"distractor"	2	4	NA	"animal"	"koalaBear"	"distractor"	3	3	"bear"	"animal"	"Panda"	""	"1455301180090"	"Panda"	"pandaBear"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"30"	"2298-c"	1455301186261	56	"subSuperTrial"	"basic33"	"dalmatian"	"target"	2	4	"dog"	"animal"	"bookcase"	"distractor"	3	2	NA	"furniture"	"cookies"	"distractor"	4	3	NA	"snack"	"Dalmation"	""	"1455301185059"	"Dalmation"	"dalmatian"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"32"	"2298-c"	1455301197151	58	"subSuperTrial"	"basic12"	"discusFish"	"distractor"	4	3	"fish"	"animal"	"clownFish"	"target"	2	2	"fish"	"animal"	"crocodile"	"distractor"	3	4	NA	"animal"	"Clownfish"	""	"1455301196267"	"Clownfish"	"discusFish"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
