gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,speakerMessages,listenerMessages,messageTimeStamps,refExp,clickedType,sub,basic,super,moreThanOneLevelMentioned,automaticallyLabelledTrial,manualAdditionTrial,additionalAttrMentioned,onlyAttrMentioned,onlySubAttr,onlyBasicAttr,onlySuperAttr,onlyOtherAttr,oneMentioned,theMentioned,fullSentence,noLevelMentioned,subAllAttr,basicAllAttr,superAllAttr,X,X.1,X.2,X.3,X.4,X.5,X.6,X.7,
15,2298-c,1455301066696,30,subSuperTrial,basic12,diningTable,target,2,2,table,furniture,sideTable,distractor,4,4,table,furniture,wardrobe,distractor,3,3,NA,furniture,Long table,,1455301065357,Long table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
23,2298-c,1455301126743,44,subSuperTrial,basic23,coffeeTable,target,2,4,table,furniture,grasses,distractor,4,2,NA,plant,bookcase,distractor,3,3,NA,furniture,Table,,1455301125803,Table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
52,2662-0,1455301306055,33,subSuperTrial,basic12,diningTable,target,4,2,table,furniture,bookcase,distractor,3,4,NA,furniture,sideTable,distractor,2,3,table,furniture,long table,,1455301300758,long table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
55,2662-0,1455301386202,42,subSuperTrial,basic33,coffeeTable,target,4,4,table,furniture,popcorn,distractor,3,2,NA,snack,sheep,distractor,2,3,NA,animal,table,,1455301384783,table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
73,4633-0,1455300949612,2,subSuperTrial,basic22,diningTable,target,2,4,table,furniture,bookcase,distractor,4,3,NA,furniture,lamp,distractor,3,2,NA,furniture,table,,1455300947600,table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
107,1997-d,1455301104114,18,subSuperTrial,basic23,coffeeTable,target,3,3,table,furniture,bed,distractor,2,4,NA,furniture,popcorn,distractor,4,2,NA,snack,table,,1455301102496,table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
112,1997-d,1455301179878,29,subSuperTrial,basic12,diningTable,target,3,3,table,furniture,wardrobe,distractor,4,2,NA,furniture,sideTable,distractor,2,4,table,furniture,large table,,1455301176283,large table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
123,1997-d,1455301284593,46,subSuperTrial,basic33,picnicTable,target,3,4,table,furniture,firetruck,distractor,2,2,NA,vehicle,horse,distractor,4,3,NA,animal,table,,1455301283187,table,picnicTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
135,8691-5,1455300986294,3,subSuperTrial,basic33,coffeeTable,target,2,3,table,furniture,popcorn,distractor,3,4,NA,snack,cow,distractor,4,2,NA,animal,wooden table,,1455300984657,wooden table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
158,8691-5,1455301257748,51,subSuperTrial,basic23,bedsideTable,target,2,4,table,furniture,elephant,distractor,4,2,NA,animal,lamp,distractor,3,3,NA,furniture,table,,1455301255591,table,bedsideTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
168,8691-5,1455301354803,68,subSuperTrial,basic12,diningTable,target,3,2,table,furniture,wardrobe,distractor,4,4,NA,furniture,sideTable,distractor,2,3,table,furniture,short table,,1455301350396,short table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
185,3791-8,1455301413651,35,subSuperTrial,basic33,diningTable,target,2,4,table,furniture,lion,distractor,4,2,NA,animal,pottedPlant,distractor,3,3,NA,plant,table,,1455301412176,table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
196,3791-8,1455301567130,56,subSuperTrial,basic23,coffeeTable,target,4,2,table,furniture,bookcase,distractor,3,3,NA,furniture,rhino,distractor,2,4,NA,animal,table,,1455301564580,table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
210,5664-b,1455301093650,8,subSuperTrial,basic22,diningTable,target,3,4,table,furniture,lamp,distractor,2,3,NA,furniture,bookcase,distractor,4,2,NA,furniture,table,,1455301092107,table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
228,5664-b,1455301322367,42,subSuperTrial,basic23,coffeeTable,target,3,3,table,furniture,gloves,distractor,4,4,NA,clothing,wardrobe,distractor,2,2,NA,furniture,table,,1455301320862,table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
295,9165-a,1455301273716,30,subSuperTrial,basic23,picnicTable,target,4,4,table,furniture,crocodile,distractor,2,2,NA,animal,wardrobe,distractor,3,3,NA,furniture,table,,1455301272015,table,picnicTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
301,9165-a,1455301383380,46,subSuperTrial,basic33,diningTable,target,2,2,table,furniture,grasses,distractor,4,3,NA,plant,sheep,distractor,3,4,NA,animal,table,,1455301382257,table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
302,9165-a,1455301399293,49,subSuperTrial,basic23,coffeeTable,target,3,3,table,furniture,rosemary,distractor,2,2,NA,plant,lamp,distractor,4,4,NA,furniture,table,,1455301398334,table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
319,1749-c,1455301054939,10,subSuperTrial,basic22,diningTable,target,2,3,table,furniture,wardrobe,distractor,4,2,NA,furniture,lamp,distractor,3,4,NA,furniture,Table,,1455301053471,Table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
334,1749-c,1455301249729,41,subSuperTrial,basic23,coffeeTable,target,4,2,table,furniture,kitten,distractor,3,4,NA,animal,bookcase,distractor,2,3,NA,furniture,table,,1455301247935,table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
362,4242-5,1455301338699,24,subSuperTrial,basic23,coffeeTable,target,2,3,table,furniture,wardrobe,distractor,4,4,NA,furniture,sheep,distractor,3,2,NA,animal,the wooden table,,1455301336404,the wooden table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
367,4242-5,1455301444506,37,subSuperTrial,basic22,diningTable,target,2,4,table,furniture,lamp,distractor,3,2,NA,furniture,bed,distractor,4,3,NA,furniture,the table,,1455301442694,the table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
381,4242-5,1455301736126,65,subSuperTrial,basic33,picnicTable,target,4,4,table,furniture,ivy,distractor,2,2,NA,plant,squirrel,distractor,3,3,NA,animal,the table,,1455301733761,the table,picnicTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
388,9973-0,1455301061055,4,subSuperTrial,basic22,diningTable,target,3,2,table,furniture,bed,distractor,2,3,NA,furniture,wardrobe,distractor,4,4,NA,furniture,table,,1455301059164,table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
402,9973-0,1455301251599,37,subSuperTrial,basic22,coffeeTable,target,3,4,table,furniture,bed,distractor,2,2,NA,furniture,wardrobe,distractor,4,3,NA,furniture,table,,1455301248450,table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
435,4855-c,1455301320612,30,subSuperTrial,basic23,coffeeTable,target,4,3,table,furniture,pretzels,distractor,3,2,NA,snack,wardrobe,distractor,2,4,NA,furniture,table,,1455301319135,table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
440,4855-c,1455301376272,39,subSuperTrial,basic22,picnicTable,target,3,2,table,furniture,wardrobe,distractor,4,3,NA,furniture,bed,distractor,2,4,NA,furniture,table,,1455301374475,table,picnicTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
450,4855-c,1455301542577,59,subSuperTrial,basic23,diningTable,target,2,2,table,furniture,wardrobe,distractor,3,3,NA,furniture,motorcycle,distractor,4,4,NA,vehicle,table,,1455301541228,table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
476,4886-d,1455301350924,39,subSuperTrial,basic22,diningTable,target,4,3,table,furniture,wardrobe,distractor,3,2,NA,furniture,lamp,distractor,2,4,NA,furniture,table,,1455301349687,table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
