Item	Color	Typicality	CI.low	CI.high
avocado	black	0.643478260869565	0.500869565217391	0.785260869565217
avocado	green	0.863529411764706	0.768779411764706	0.935294117647059
balloon	pink	0.693181818181818	0.605909090909091	0.776420454545454
balloon	yellow	0.661111111111111	0.529916666666667	0.788902777777778
belt	black	0.909130434782609	0.86825	0.945228260869565
belt	brown	0.870588235294118	0.788205882352941	0.941191176470588
bike	purple	0.349	0.264475	0.4435
bike	red	0.868	0.8014875	0.928
billiardball	orange	0.827826086956522	0.739978260869565	0.905217391304348
billiardball	purple	0.645294117647059	0.498117647058823	0.789411764705882
binder	blue	0.765555555555556	0.673333333333333	0.850583333333333
binder	green	0.588181818181818	0.494977272727273	0.693204545454545
book	black	0.853684210526316	0.786315789473684	0.9195
book	blue	0.67952380952381	0.575238095238095	0.773345238095238
bracelet	green	0.514545454545455	0.412727272727273	0.622738636363636
bracelet	purple	0.564444444444444	0.477777777777778	0.655555555555556
bucket	pink	0.351923076923077	0.272682692307692	0.432346153846154
bucket	red	0.802857142857143	0.714267857142857	0.885714285714286
butterfly	blue	0.646842105263158	0.52103947368421	0.77053947368421
butterfly	purple	0.39047619047619	0.294166666666667	0.486678571428571
candle	blue	0.494444444444444	0.345	0.658361111111111
candle	red	0.731818181818182	0.676329545454545	0.79
cap	blue	0.397692307692308	0.296903846153846	0.497730769230769
cap	orange	0.376296296296296	0.287009259259259	0.475935185185185
chair	green	0.164210526315789	0.0963026315789474	0.24
chair	red	0.606190476190476	0.498976190476191	0.712880952380952
coathanger	orange	0.187777777777778	0.0971944444444444	0.31675
coathanger	purple	0.191363636363636	0.14	0.247306818181818
comb	black	0.937058823529412	0.885264705882353	0.979411764705882
comb	blue	0.67695652173913	0.55475	0.791782608695652
cushion	blue	0.618333333333333	0.515375	0.71840625
cushion	orange	0.62625	0.536203125	0.729421875
flower	purple	0.813703703703704	0.73925	0.877046296296296
flower	red	0.839230769230769	0.787692307692308	0.891576923076923
framee	green	0.235	0.163	0.3100125
framee	pink	0.26	0.1689625	0.3560125
golfball	blue	0.762916666666667	0.627885416666667	0.871708333333333
golfball	pink	0.185	0.10875	0.26878125
guitar	blue	0.526842105263158	0.409973684210526	0.645276315789474
guitar	green	0.305238095238095	0.210928571428571	0.411011904761905
hairdryer	pink	0.2975	0.2064875	0.40305
hairdryer	purple	0.332	0.2489875	0.4245125
jacket	brown	0.703125	0.590609375	0.807515625
jacket	green	0.48625	0.385833333333333	0.597927083333333
napkin	orange	0.464347826086957	0.355630434782609	0.573065217391304
napkin	yellow	0.347058823529412	0.236352941176471	0.455955882352941
ornament	blue	0.801052631578947	0.724184210526316	0.877907894736842
ornament	purple	0.674761904761905	0.59952380952381	0.75525
pepper	green	0.873125	0.805625	0.934390625
pepper	red	0.922916666666667	0.882916666666667	0.9575
phone	pink	0.273157894736842	0.194197368421053	0.352631578947368
phone	white	0.812380952380952	0.738547619047619	0.880964285714286
rock	green	0.1796	0.11797	0.24962
rock	purple	0.108666666666667	0.0399833333333333	0.2101
rug	blue	0.604736842105263	0.484197368421053	0.728421052631579
rug	purple	0.288095238095238	0.216178571428571	0.366190476190476
shoe	white	0.6905	0.588475	0.7915375
shoe	yellow	0.3075	0.195	0.4195125
stapler	purple	0.326666666666667	0.232357142857143	0.426202380952381
stapler	red	0.531052631578947	0.426302631578947	0.641065789473684
tack	blue	0.705625	0.5625	0.83565625
tack	red	0.781666666666667	0.697916666666667	0.8554375
teacup	pink	0.194615384615385	0.108461538461538	0.291538461538462
teacup	white	0.852592592592593	0.778888888888889	0.915935185185185
toothbrush	blue	0.776315789473684	0.709986842105263	0.846842105263158
toothbrush	red	0.752380952380952	0.686178571428571	0.822404761904762
turtle	black	0.110526315789474	0.0283684210526316	0.221065789473684
turtle	brown	0.866666666666667	0.773785714285714	0.938583333333333
weddingcake	pink	0.400416666666667	0.29371875	0.513354166666667
weddingcake	white	0.88625	0.78184375	0.970625
yarn	purple	0.599090909090909	0.481363636363636	0.709568181818182
yarn	red	0.744444444444444	0.675527777777778	0.815013888888889
