Item,Color,Utterance,Combo,RoundMTypicality,YMin,YMax
apple,blue,black_avocado,blue apple,0.032,0.00214285714285714,0.0657321428571428
apple,blue,black_pepper,blue apple,0.007,0.00166666666666667,0.0133333333333333
apple,blue,blue_apple,blue apple,0.909,0.858385057471264,0.954025862068965
apple,blue,blue_banana,blue apple,0.025,0,0.075
apple,blue,brown_banana,blue apple,0.038,0.005,0.083025
apple,blue,brown_carrot,blue apple,0.02,0.0025,0.0475
apple,blue,green_apple,blue apple,0.17,0.130764367816092,0.211847701149425
apple,blue,green_avocado,blue apple,0.031,0.0075,0.06875
apple,blue,green_pear,blue apple,0.026,0.00333333333333333,0.0550208333333333
apple,blue,green_pepper,blue apple,0.069,0.01875,0.14003125
apple,blue,green_tomato,blue apple,0.04,0.004,0.096
apple,blue,orange_carrot,blue apple,0.025,0.00798333333333334,0.048
apple,blue,orange_pear,blue apple,0.008,0,0.018
apple,blue,orange_pepper,blue apple,0.013,0.00111111111111111,0.0322222222222222
apple,blue,pink_carrot,blue apple,0.015,0.00333333333333333,0.0316666666666667
apple,blue,pink_tomato,blue apple,0.103,0.0358823529411765,0.197661764705882
apple,blue,red_apple,blue apple,0.165,0.127109195402299,0.20391091954023
apple,blue,red_avocado,blue apple,0.006,0,0.01378125
apple,blue,red_pepper,blue apple,0.01,0.00222222222222222,0.0205555555555556
apple,blue,red_tomato,blue apple,0.037,0.00142857142857143,0.0928928571428571
apple,blue,yellow_banana,blue apple,0.08,0.02,0.14
apple,blue,yellow_pear,blue apple,0.048,0.00166666666666666,0.121666666666667
apple,green,black_avocado,green apple,0.047,0.00333333333333333,0.129166666666667
apple,green,black_pepper,green apple,0.02,0,0.06
apple,green,blue_apple,green apple,0.195,0.150454022988506,0.243218390804598
apple,green,blue_banana,green apple,0.08,0.014,0.182
apple,green,brown_banana,green apple,0.038,0.01,0.0761538461538462
apple,green,brown_carrot,green apple,0.012,0,0.028
apple,green,green_apple,green apple,0.962,0.928724137931034,0.986896551724138
apple,green,green_avocado,green apple,0.065,0.019,0.123025
apple,green,green_pear,green apple,0.069,0.017,0.121025
apple,green,green_pepper,green apple,0.06,0.0190681818181818,0.106363636363636
apple,green,green_tomato,green apple,0.039,0.0145454545454545,0.0672954545454545
apple,green,orange_carrot,green apple,0.02,0.00125,0.05125
apple,green,orange_pear,green apple,0.142,0.01,0.275
apple,green,orange_pepper,green apple,0.036,0.00375,0.06875
apple,green,pink_carrot,green apple,0.034,0.00545454545454545,0.0709545454545454
apple,green,pink_tomato,green apple,0.029,0.005,0.06503125
apple,green,red_apple,green apple,0.224,0.180916666666667,0.268655172413793
apple,green,red_avocado,green apple,0.022,0.00636363636363636,0.0436363636363636
apple,green,red_pepper,green apple,0.033,0.00714285714285714,0.0750178571428571
apple,green,red_tomato,green apple,0.105,0.00874999999999999,0.28003125
apple,green,yellow_banana,green apple,0.017,0.00714285714285714,0.0292857142857143
apple,green,yellow_pear,green apple,0.072,0.014,0.146
apple,red,black_avocado,red apple,0.022,0.005,0.044
apple,red,black_pepper,red apple,0.037,0.00833333333333333,0.0683333333333333
apple,red,blue_apple,red apple,0.181,0.143793103448276,0.221612068965517
apple,red,blue_banana,red apple,0.018,0.004,0.035
apple,red,brown_banana,red apple,0,0,0
apple,red,brown_carrot,red apple,0.04,0.0116666666666667,0.0700416666666666
apple,red,green_apple,red apple,0.261,0.209063218390805,0.311037356321839
apple,red,green_avocado,red apple,0.009,0.00266666666666667,0.0173333333333333
apple,red,green_pear,red apple,0.038,0.00181818181818182,0.0963636363636364
apple,red,green_pepper,red apple,0.034,0,0.09375
apple,red,green_tomato,red apple,0.024,0.002,0.05
apple,red,orange_carrot,red apple,0.024,0,0.068
apple,red,orange_pear,red apple,0.054,0.007,0.138025
apple,red,orange_pepper,red apple,0.045,0.00496875,0.095
apple,red,pink_carrot,red apple,0.033,0.00866666666666667,0.0613333333333333
apple,red,pink_tomato,red apple,0.026,0.00416666666666667,0.0533541666666667
apple,red,red_apple,red apple,0.985,0.978847701149425,0.990689655172414
apple,red,red_avocado,red apple,0.053,0.0166666666666667,0.0922222222222222
apple,red,red_pepper,red apple,0.051,0.02375,0.08125
apple,red,red_tomato,red apple,0.039,0.00571428571428571,0.07
apple,red,yellow_banana,red apple,0.053,0,0.142
apple,red,yellow_pear,red apple,0.019,0.005,0.0375
avocado,black,black_avocado,black avocado,0.954,0.922405172413793,0.976094827586207
avocado,black,black_pepper,black avocado,0.1,0.0166666666666667,0.183333333333333
avocado,black,blue_apple,black avocado,0.035,0.01,0.0700416666666666
avocado,black,blue_banana,black avocado,0.022,0.007,0.042
avocado,black,brown_banana,black avocado,0.019,0.00466666666666667,0.0380166666666667
avocado,black,brown_carrot,black avocado,0.037,0.013975,0.066025
avocado,black,green_apple,black avocado,0.028,0,0.055
avocado,black,green_avocado,black avocado,0.37,0.303548850574713,0.438626436781609
avocado,black,green_pear,black avocado,0.038,0.006,0.086
avocado,black,green_pepper,black avocado,0.045,0.005,0.1025625
avocado,black,green_tomato,black avocado,0.005,0.000714285714285714,0.0107142857142857
avocado,black,orange_carrot,black avocado,0.021,0,0.06125
avocado,black,orange_pear,black avocado,0.009,0,0.0171428571428571
avocado,black,orange_pepper,black avocado,0.018,0.00285714285714286,0.0414285714285714
avocado,black,pink_carrot,black avocado,0.022,0.00416666666666667,0.0475
avocado,black,pink_tomato,black avocado,0.007,0,0.0144444444444444
avocado,black,red_apple,black avocado,0.02,0.00740625,0.0375
avocado,black,red_avocado,black avocado,0.2,0.161022988505747,0.238620689655172
avocado,black,red_pepper,black avocado,0.035,0.00166666666666666,0.08
avocado,black,red_tomato,black avocado,0.012,0.003,0.021
avocado,black,yellow_banana,black avocado,0.018,0.00461538461538461,0.0361538461538462
avocado,black,yellow_pear,black avocado,0.085,0.03,0.153865384615385
avocado,green,black_avocado,green avocado,0.284,0.234709770114943,0.336227011494253
avocado,green,black_pepper,green avocado,0.058,0,0.1725
avocado,green,blue_apple,green avocado,0.051,0.0233333333333333,0.0816875
avocado,green,blue_banana,green avocado,0.016,0.00090909090909091,0.0354545454545455
avocado,green,brown_banana,green avocado,0.017,0.00416666666666667,0.0341875
avocado,green,brown_carrot,green avocado,0.009,0.00333333333333333,0.0166666666666667
avocado,green,green_apple,green avocado,0.06,0.00725,0.137318181818182
avocado,green,green_avocado,green avocado,0.975,0.961491379310345,0.985287356321839
avocado,green,green_pear,green avocado,0.019,0.00454545454545455,0.0390909090909091
avocado,green,green_pepper,green avocado,0.119,0.0213928571428571,0.262892857142857
avocado,green,green_tomato,green avocado,0.028,0.00625,0.05125
avocado,green,orange_carrot,green avocado,0.006,0,0.013
avocado,green,orange_pear,green avocado,0.02,0.005,0.0383333333333333
avocado,green,orange_pepper,green avocado,0,0,0
avocado,green,pink_carrot,green avocado,0.019,0.00398333333333334,0.0400166666666667
avocado,green,pink_tomato,green avocado,0.047,0.0136363636363636,0.0918181818181818
avocado,green,red_apple,green avocado,0.06,0.004,0.16
avocado,green,red_avocado,green avocado,0.214,0.174471264367816,0.260804597701149
avocado,green,red_pepper,green avocado,0.054,0.0111111111111111,0.113333333333333
avocado,green,red_tomato,green avocado,0.024,0.00996428571428572,0.04
avocado,green,yellow_banana,green avocado,0.052,0.006,0.128025
avocado,green,yellow_pear,green avocado,0.006,0.00125,0.0125
avocado,red,black_avocado,red avocado,0.339,0.28033908045977,0.402545977011494
avocado,red,black_pepper,red avocado,0.03,0.0117647058823529,0.0523529411764706
avocado,red,blue_apple,red avocado,0.017,0.00270454545454546,0.0436363636363636
avocado,red,blue_banana,red avocado,0.021,0.00285714285714286,0.0457142857142857
avocado,red,brown_banana,red avocado,0.028,0.00545454545454545,0.0572954545454545
avocado,red,brown_carrot,red avocado,0.028,0.00166666666666667,0.075
