Utterance	condition	Probability	YMax	YMin	ModelType
basic	item12	0.168264030915581	0.196069853005722	0.14376271135469	nondet-nocost
basic	item22	0.424142823735161	0.448474731894285	0.397681618561855	nondet-nocost
basic	item23	0.409485260672646	0.427205413627679	0.389315990913305	nondet-nocost
basic	item33	0.337901172106387	0.356616640587173	0.316986706995411	nondet-nocost
sub	item12	0.784282333134362	0.812845180552777	0.750251099536533	nondet-nocost
sub	item22	0.546041136237025	0.570205658194513	0.520800667439402	nondet-nocost
sub	item23	0.519098048128127	0.539084349147335	0.498140303122436	nondet-nocost
sub	item33	0.399720817928056	0.4186936206035	0.380267941199592	nondet-nocost
super	item12	0.0450529382920655	0.0576414217854292	0.0347320245081505	nondet-nocost
super	item22	0.023291835857192	0.0286242443273695	0.0184808901100205	nondet-nocost
super	item23	0.0698753248286774	0.0816766398556444	0.0581191798568455	nondet-nocost
super	item33	0.263247804841173	0.286551901460635	0.237952755077734	nondet-nocost
