parameter,value,MCMCprob
alpha,5.1770014597358465,0.00019999999999999985
lengthWeight,1.994540976469818,0.00019999999999999985
freqWeight,1.0098304158557476,0.00019999999999999985
typWeight,0.9659849246819556,0.00019999999999999985
alpha,5.1770014597358465,0.0016999999999999997
lengthWeight,1.994540976469818,0.0016999999999999997
freqWeight,0.679755188262315,0.0016999999999999997
typWeight,0.9659849246819556,0.0016999999999999997
alpha,5.1770014597358465,0.0016999999999999997
lengthWeight,1.994540976469818,0.0016999999999999997
freqWeight,0.679755188262315,0.0016999999999999997
typWeight,0.9904358252160691,0.0016999999999999997
alpha,5.1770014597358465,0.0015000000000000002
lengthWeight,1.994540976469818,0.0015000000000000002
freqWeight,0.679755188262315,0.0015000000000000002
typWeight,0.8854961089969413,0.0015000000000000002
alpha,5.1770014597358465,0.0004999999999999998
lengthWeight,1.994540976469818,0.0004999999999999998
freqWeight,0.679755188262315,0.0004999999999999998
typWeight,0.990381277044212,0.0004999999999999998
alpha,5.1770014597358465,0.0001000000000000001
lengthWeight,1.994540976469818,0.0001000000000000001
freqWeight,0.679755188262315,0.0001000000000000001
typWeight,0.9418631073945594,0.0001000000000000001
alpha,5.1770014597358465,0.00030000000000000024
lengthWeight,1.994540976469818,0.00030000000000000024
freqWeight,0.679755188262315,0.00030000000000000024
typWeight,0.770075192504312,0.00030000000000000024
alpha,3.866727038113615,0.009499999999999998
lengthWeight,1.994540976469818,0.009499999999999998
freqWeight,0.679755188262315,0.009499999999999998
typWeight,0.770075192504312,0.009499999999999998
alpha,3.866727038113615,0.004300000000000002
lengthWeight,1.929687498860986,0.004300000000000002
freqWeight,0.679755188262315,0.004300000000000002
typWeight,0.770075192504312,0.004300000000000002
alpha,3.866727038113615,0.0057
lengthWeight,1.929687498860986,0.0057
freqWeight,0.679755188262315,0.0057
typWeight,0.9062746600396472,0.0057
alpha,3.866727038113615,0.00019999999999999985
lengthWeight,1.929687498860986,0.00019999999999999985
freqWeight,0.679755188262315,0.00019999999999999985
typWeight,0.9368382347610514,0.00019999999999999985
alpha,3.866727038113615,0.0017999999999999993
lengthWeight,1.6341801749476461,0.0017999999999999993
freqWeight,0.679755188262315,0.0017999999999999993
typWeight,0.9368382347610514,0.0017999999999999993
alpha,3.866727038113615,0.00019999999999999985
lengthWeight,1.6341801749476461,0.00019999999999999985
freqWeight,0.679755188262315,0.00019999999999999985
typWeight,0.9177042775990935,0.00019999999999999985
alpha,3.866727038113615,0.0005999999999999994
lengthWeight,1.6341801749476461,0.0005999999999999994
freqWeight,0.6589214219289616,0.0005999999999999994
typWeight,0.9177042775990935,0.0005999999999999994
alpha,3.866727038113615,0.006199999999999998
lengthWeight,1.6341801749476461,0.006199999999999998
freqWeight,0.6589214219289616,0.006199999999999998
typWeight,0.9793519348446208,0.006199999999999998
alpha,3.866727038113615,0.0001000000000000001
lengthWeight,1.6341801749476461,0.0001000000000000001
freqWeight,0.6589214219289616,0.0001000000000000001
typWeight,0.9323634185543196,0.0001000000000000001
alpha,3.866727038113615,0.0032
lengthWeight,1.6341801749476461,0.0032
freqWeight,0.6589214219289616,0.0032
typWeight,0.9944444131186028,0.0032
alpha,3.866727038113615,0.003099999999999999
lengthWeight,1.6341801749476461,0.003099999999999999
freqWeight,0.6589214219289616,0.003099999999999999
typWeight,0.8793089470276717,0.003099999999999999
alpha,3.866727038113615,0.0033999999999999994
lengthWeight,1.6341801749476461,0.0033999999999999994
freqWeight,0.6589214219289616,0.0033999999999999994
typWeight,0.6729116940964716,0.0033999999999999994
alpha,3.866727038113615,0.0016999999999999997
lengthWeight,1.6341801749476461,0.0016999999999999997
freqWeight,0.6589214219289616,0.0016999999999999997
typWeight,0.8507045939977984,0.0016999999999999997
alpha,3.866727038113615,0.0001000000000000001
lengthWeight,1.6341801749476461,0.0001000000000000001
freqWeight,1.1161709347630673,0.0001000000000000001
typWeight,0.8507045939977984,0.0001000000000000001
alpha,3.866727038113615,0.0004
lengthWeight,1.6341801749476461,0.0004
freqWeight,1.1161709347630673,0.0004
typWeight,0.8709748427131616,0.0004
alpha,3.866727038113615,0.0014000000000000006
lengthWeight,1.6341801749476461,0.0014000000000000006
freqWeight,0.6311895536777568,0.0014000000000000006
typWeight,0.8709748427131616,0.0014000000000000006
alpha,3.866727038113615,0.0016999999999999997
lengthWeight,1.6341801749476461,0.0016999999999999997
freqWeight,0.6311895536777568,0.0016999999999999997
