parameter,value,MCMCprob
alpha,4.841296155937016,0.0009999999999999996
lengthWeight,3.3745742263272405,0.0009999999999999996
freqWeight,0.47671820502728224,0.0009999999999999996
interactionWeight,15.551441651768982,0.0009999999999999996
typWeight,0.3659873220603913,0.0009999999999999996
alpha,7.138261329382658,0.002999999999999998
lengthWeight,3.3745742263272405,0.002999999999999998
freqWeight,0.47671820502728224,0.002999999999999998
interactionWeight,15.551441651768982,0.002999999999999998
typWeight,0.3659873220603913,0.002999999999999998
alpha,7.138261329382658,0.013999999999999997
lengthWeight,3.3745742263272405,0.013999999999999997
freqWeight,0.47671820502728224,0.013999999999999997
interactionWeight,1.7092759581282735,0.013999999999999997
typWeight,0.3659873220603913,0.013999999999999997
alpha,7.138261329382658,0.015999999999999993
lengthWeight,3.2991956686601043,0.015999999999999993
freqWeight,0.47671820502728224,0.015999999999999993
interactionWeight,1.7092759581282735,0.015999999999999993
typWeight,0.3659873220603913,0.015999999999999993
alpha,7.138261329382658,0.009000000000000001
lengthWeight,3.2991956686601043,0.009000000000000001
freqWeight,0.47671820502728224,0.009000000000000001
interactionWeight,1.7092759581282735,0.009000000000000001
typWeight,0.8232156804297119,0.009000000000000001
alpha,7.221544259227812,0.023999999999999994
lengthWeight,3.2991956686601043,0.023999999999999994
freqWeight,0.47671820502728224,0.023999999999999994
interactionWeight,1.7092759581282735,0.023999999999999994
typWeight,0.8232156804297119,0.023999999999999994
alpha,7.11634423583746,0.002999999999999998
lengthWeight,3.2991956686601043,0.002999999999999998
freqWeight,0.47671820502728224,0.002999999999999998
interactionWeight,1.7092759581282735,0.002999999999999998
typWeight,0.8232156804297119,0.002999999999999998
alpha,7.11634423583746,0.028999999999999998
lengthWeight,3.2991956686601043,0.028999999999999998
freqWeight,0.47671820502728224,0.028999999999999998
interactionWeight,1.7092759581282735,0.028999999999999998
typWeight,0.9931782928761095,0.028999999999999998
alpha,7.11634423583746,0.004000000000000003
lengthWeight,3.2483007106930017,0.004000000000000003
freqWeight,0.47671820502728224,0.004000000000000003
interactionWeight,1.7092759581282735,0.004000000000000003
typWeight,0.9931782928761095,0.004000000000000003
alpha,7.11634423583746,0.032
lengthWeight,3.2483007106930017,0.032
freqWeight,0.47671820502728224,0.032
interactionWeight,1.7092759581282735,0.032
typWeight,0.8728849801700562,0.032
alpha,7.11634423583746,0.012999999999999998
lengthWeight,3.2483007106930017,0.012999999999999998
freqWeight,0.47671820502728224,0.012999999999999998
interactionWeight,0.23830479942262173,0.012999999999999998
typWeight,0.8728849801700562,0.012999999999999998
alpha,7.11634423583746,0.09099999999999997
