noun,SUM_match_frequency,relFreq,total_counts,level
animal,39951249,0.000117655,340000000000,super
bear,6447057,0.000019,340000000000,basic
bedsidetable,142988,0.000000421,340000000000,sub
bird,20470955,0.0000603,340000000000,basic
blackbear,190399,0.000000561,340000000000,sub
candy,2151372,0.00000634,340000000000,basic
car,38511187,0.000113414,340000000000,basic
catfish,355178,0.00000105,340000000000,sub
clothing,7987510,0.0000235,340000000000,super
clownfish,10093,2.97E-008,340000000000,sub
coffeetable,361306,0.00000106,340000000000,sub
convertible,123602,0.000000364,340000000000,sub
daisy,1142904,0.00000337,340000000000,sub
dalmatian,49602,0.000000146,340000000000,sub
diningtable,183217,0.00000054,340000000000,sub
dog,21789518,0.0000642,340000000000,basic
dressshirt,55990,0.000000165,340000000000,sub
eagle,3549006,0.0000105,340000000000,sub
fish,19806893,0.0000583,340000000000,basic
flower,16497919,0.0000486,340000000000,basic
furniture,6098822,0.000018,340000000000,super
germanshepherd,97790,0.000000288,340000000000,sub
goldfish,50729,0.000000149,340000000000,sub
grizzlybear,168892,0.000000497,340000000000,sub
gummybears,4333,1.28E-008,340000000000,sub
hawaiishirt,101,2.97E-010,340000000000,sub
hummingbird,286394,0.000000843,340000000000,sub
husky,76741,0.000000226,340000000000,sub
jellybeans,57151,0.000000168,340000000000,sub
mnms,54,1.59E-010,340000000000,sub
minivan,89418,0.000000263,340000000000,sub
pandabear,6344,1.87E-008,340000000000,sub
parrot,900200,0.00000265,340000000000,sub
picnictable,176368,0.000000519,340000000000,sub
pigeon,1705901,0.00000502,340000000000,sub
plant,52852109,0.000155648,340000000000,super
polarbear,230799,0.00000068,340000000000,sub
poloshirt,55324,0.000000163,340000000000,sub
pug,121280,0.000000357,340000000000,sub
rose,8595412,0.0000253,340000000000,sub
shirt,7341359,0.0000216,340000000000,basic
skittles,31032,9.14E-008,340000000000,sub
snack,1505074,0.00000443,340000000000,super
sportscar,240933,0.00000071,340000000000,sub
sunflower,583171,0.00000172,340000000000,sub
suv,193945,0.000000571,340000000000,sub
swordfish,197948,0.000000583,340000000000,sub
tshirt,35541,0.000000105,340000000000,sub
table,105187425,0.000309774,340000000000,basic
tulip,385498,0.00000114,340000000000,sub
vehicle,15734124,0.0000463,340000000000,super
