condition,label,constantLength,t_t,t_d1,t_d2,t_d,freq,freqLabel,p_s_sub,p_s_basic,p_s_super
item12,sub,7.559444,0.9369443,0.2646565,0.04424588,0.1544512,1.59E-010,low,,,
item22,sub,7.559444,0.9369443,0.04424588,0.04424588,0.04424588,1.59E-010,low,,,
item23,sub,7.559444,0.9369443,0.04424588,0,0.02212294,1.59E-010,low,,,
item33,sub,7.559444,0.9369443,0,0,0,1.59E-010,low,,,
item12,basic,4.367778,0.8803017,0.861241,0.06146359,0.4613523,6.34E-006,low,,,
item22,basic,4.367778,0.8803017,0.06146359,0.06146359,0.06146359,6.34E-006,low,,,
item23,basic,4.367778,0.8803017,0.06146359,0,,6.34E-006,low,,,
item33,basic,4.367778,0.8803017,0,0,0,6.34E-006,low,,,
item12,super,6.666667,0.8244489,0.8160308,0.8028321,0.8094314,4.43E-006,low,,,
item22,super,6.666667,0.8244489,0.8028321,0.8028321,0.8028321,4.43E-006,low,,,
item23,super,6.666667,0.8244489,0.8028321,0.04304787,0.42294,4.43E-006,low,,,
item33,super,6.666667,0.8244489,0.04304787,0.04304787,0.04304787,4.43E-006,low,,,
item12,sub,7.559444,0.9369443,0.2646565,0.04424588,0.1544512,1.67E-006,medium,,,
item22,sub,7.559444,0.9369443,0.04424588,0.04424588,0.04424588,1.67E-006,medium,,,
item23,sub,7.559444,0.9369443,0.04424588,0,0.02212294,1.67E-006,medium,,,
item33,sub,7.559444,0.9369443,0,0,0,1.67E-006,medium,,,
item12,basic,4.367778,0.8803017,0.861241,0.06146359,0.4613523,7.79E-005,medium,,,
item22,basic,4.367778,0.8803017,0.06146359,0.06146359,0.06146359,7.79E-005,medium,,,
item23,basic,4.367778,0.8803017,0.06146359,0,,7.79E-005,medium,,,
item33,basic,4.367778,0.8803017,0,0,0,7.79E-005,medium,,,
item12,super,6.666667,0.8244489,0.8160308,0.8028321,0.8094314,6.09E-005,medium,,,
item22,super,6.666667,0.8244489,0.8028321,0.8028321,0.8028321,6.09E-005,medium,,,
item23,super,6.666667,0.8244489,0.8028321,0.04304787,0.42294,6.09E-005,medium,,,
item33,super,6.666667,0.8244489,0.04304787,0.04304787,0.04304787,6.09E-005,medium,,,
item12,sub,7.559444,0.9369443,0.2646565,0.04424588,0.1544512,2.53E-005,high,,,
item22,sub,7.559444,0.9369443,0.04424588,0.04424588,0.04424588,2.53E-005,high,,,
item23,sub,7.559444,0.9369443,0.04424588,0,0.02212294,2.53E-005,high,,,
item33,sub,7.559444,0.9369443,0,0,0,2.53E-005,high,,,
item12,basic,4.367778,0.8803017,0.861241,0.06146359,0.4613523,0.000309774,high,,,
item22,basic,4.367778,0.8803017,0.06146359,0.06146359,0.06146359,0.000309774,high,,,
item23,basic,4.367778,0.8803017,0.06146359,0,,0.000309774,high,,,
item33,basic,4.367778,0.8803017,0,0,0,0.000309774,high,,,
item12,super,6.666667,0.8244489,0.8160308,0.8028321,0.8094314,0.000155648,high,,,
item22,super,6.666667,0.8244489,0.8028321,0.8028321,0.8028321,0.000155648,high,,,
item23,super,6.666667,0.8244489,0.8028321,0.04304787,0.42294,0.000155648,high,,,
item33,super,6.666667,0.8244489,0.04304787,0.04304787,0.04304787,0.000155648,high,,,
