condition,priorWeight,label,prob
item12,0.01,type,0.4728
item12,0.01,basicLevel,0.2668
item12,0.01,superDomain,0.2605
item12,0.01,type,0.4900
item12,0.01,basicLevel,0.2581
item12,0.01,superDomain,0.2519
item12,0.01,type,0.4620
item12,0.01,basicLevel,0.2722
item12,0.01,superDomain,0.2658
item12,0.01,type,0.4839
item12,0.01,basicLevel,0.2612
item12,0.01,superDomain,0.2550
item22,0.01,type,0.4007
item22,0.01,basicLevel,0.4522
item22,0.01,superDomain,0.1472
item22,0.01,type,0.4173
item22,0.01,basicLevel,0.4396
item22,0.01,superDomain,0.1431
item22,0.01,type,0.3904
item22,0.01,basicLevel,0.4600
item22,0.01,superDomain,0.1497
item22,0.01,type,0.4114
item22,0.01,basicLevel,0.4441
item22,0.01,superDomain,0.1445
item23,0.01,type,0.3732
item23,0.01,basicLevel,0.4212
item23,0.01,superDomain,0.2056
item23,0.01,type,0.3895
item23,0.01,basicLevel,0.4102
item23,0.01,superDomain,0.2003
item23,0.01,type,0.3632
item23,0.01,basicLevel,0.4279
item23,0.01,superDomain,0.2089
item23,0.01,type,0.3837
item23,0.01,basicLevel,0.4142
item23,0.01,superDomain,0.2022
item33,0.01,type,0.3096
item33,0.01,basicLevel,0.3493
item33,0.01,superDomain,0.3411
item33,0.01,type,0.3245
item33,0.01,basicLevel,0.3418
item33,0.01,superDomain,0.3337
item33,0.01,type,0.3004
item33,0.01,basicLevel,0.3540
item33,0.01,superDomain,0.3456
item33,0.01,type,0.3191
item33,0.01,basicLevel,0.3445
item33,0.01,superDomain,0.3364
