condition,target,priorWeight,label,prob
item12,dalmatian,0.05,type,0.4665
item12,dalmatian,0.05,basicLevel,0.3162
item12,dalmatian,0.05,superDomain,0.2173
item12,pug,0.05,type,0.4776
item12,pug,0.05,basicLevel,0.3096
item12,pug,0.05,superDomain,0.2128
item12,germanShepherd,0.05,type,0.4750
item12,germanShepherd,0.05,basicLevel,0.3112
item12,germanShepherd,0.05,superDomain,0.2138
item12,husky,0.05,type,0.4719
item12,husky,0.05,basicLevel,0.3130
item12,husky,0.05,superDomain,0.2151
item22,dalmatian,0.05,type,0.3544
item22,dalmatian,0.05,basicLevel,0.4805
item22,dalmatian,0.05,superDomain,0.1651
item22,pug,0.05,type,0.3647
item22,pug,0.05,basicLevel,0.4728
item22,pug,0.05,superDomain,0.1625
item22,germanShepherd,0.05,type,0.3622
item22,germanShepherd,0.05,basicLevel,0.4747
item22,germanShepherd,0.05,superDomain,0.1631
item22,husky,0.05,type,0.3594
item22,husky,0.05,basicLevel,0.4768
item22,husky,0.05,superDomain,0.1638
item23,dalmatian,0.05,type,0.3274
item23,dalmatian,0.05,basicLevel,0.4439
item23,dalmatian,0.05,superDomain,0.2287
item23,pug,0.05,type,0.3373
item23,pug,0.05,basicLevel,0.4373
item23,pug,0.05,superDomain,0.2254
item23,germanShepherd,0.05,type,0.3349
item23,germanShepherd,0.05,basicLevel,0.4389
item23,germanShepherd,0.05,superDomain,0.2262
item23,husky,0.05,type,0.3322
item23,husky,0.05,basicLevel,0.4407
item23,husky,0.05,superDomain,0.2271
item33,dalmatian,0.05,type,0.2664
item33,dalmatian,0.05,basicLevel,0.3612
item33,dalmatian,0.05,superDomain,0.3723
item33,pug,0.05,type,0.2753
item33,pug,0.05,basicLevel,0.3569
item33,pug,0.05,superDomain,0.3678
item33,germanShepherd,0.05,type,0.2731
item33,germanShepherd,0.05,basicLevel,0.3579
item33,germanShepherd,0.05,superDomain,0.3689
item33,husky,0.05,type,0.2707
item33,husky,0.05,basicLevel,0.3591
item33,husky,0.05,superDomain,0.3702
