condition,target,priorWeight,label,prob
item12,gummyBears,0.001,type,0.5427
item12,gummyBears,0.001,basicLevel,0.2744
item12,gummyBears,0.001,superDomain,0.1829
item12,jellyBeans,0.001,type,0.5433
item12,jellyBeans,0.001,basicLevel,0.2740
item12,jellyBeans,0.001,superDomain,0.1826
item12,skittles,0.001,type,0.5437
item12,skittles,0.001,basicLevel,0.2738
item12,skittles,0.001,superDomain,0.1825
item12,mnMs,0.001,type,0.5431
item12,mnMs,0.001,basicLevel,0.2742
item12,mnMs,0.001,superDomain,0.1827
item22,gummyBears,0.001,type,0.4259
item22,gummyBears,0.001,basicLevel,0.4307
item22,gummyBears,0.001,superDomain,0.1435
item22,jellyBeans,0.001,type,0.4265
item22,jellyBeans,0.001,basicLevel,0.4302
item22,jellyBeans,0.001,superDomain,0.1433
item22,skittles,0.001,type,0.4268
item22,skittles,0.001,basicLevel,0.4299
item22,skittles,0.001,superDomain,0.1433
item22,mnMs,0.001,type,0.4262
item22,mnMs,0.001,basicLevel,0.4304
item22,mnMs,0.001,superDomain,0.1434
item23,gummyBears,0.001,type,0.3973
item23,gummyBears,0.001,basicLevel,0.4018
item23,gummyBears,0.001,superDomain,0.2008
item23,jellyBeans,0.001,type,0.3980
item23,jellyBeans,0.001,basicLevel,0.4014
item23,jellyBeans,0.001,superDomain,0.2006
item23,skittles,0.001,type,0.3983
item23,skittles,0.001,basicLevel,0.4012
item23,skittles,0.001,superDomain,0.2005
item23,mnMs,0.001,type,0.3977
item23,mnMs,0.001,basicLevel,0.4016
item23,mnMs,0.001,superDomain,0.2007
item33,gummyBears,0.001,type,0.3309
item33,gummyBears,0.001,basicLevel,0.3346
item33,gummyBears,0.001,superDomain,0.3345
item33,jellyBeans,0.001,type,0.3315
item33,jellyBeans,0.001,basicLevel,0.3343
item33,jellyBeans,0.001,superDomain,0.3342
item33,skittles,0.001,type,0.3318
item33,skittles,0.001,basicLevel,0.3342
item33,skittles,0.001,superDomain,0.3341
item33,mnMs,0.001,type,0.3312
item33,mnMs,0.001,basicLevel,0.3344
item33,mnMs,0.001,superDomain,0.3343
