condition,target,priorWeight,label,prob
item12,poloShirt,0.001,type,0.5435
item12,poloShirt,0.001,basicLevel,0.2742
item12,poloShirt,0.001,superDomain,0.1823
item12,dressShirt,0.001,type,0.5433
item12,dressShirt,0.001,basicLevel,0.2743
item12,dressShirt,0.001,superDomain,0.1824
item12,hawaiiShirt,0.001,type,0.5415
item12,hawaiiShirt,0.001,basicLevel,0.2754
item12,hawaiiShirt,0.001,superDomain,0.1831
item12,tShirt,0.001,type,0.5442
item12,tShirt,0.001,basicLevel,0.2738
item12,tShirt,0.001,superDomain,0.1820
item22,poloShirt,0.001,type,0.4266
item22,poloShirt,0.001,basicLevel,0.4304
item22,poloShirt,0.001,superDomain,0.1430
item22,dressShirt,0.001,type,0.4263
item22,dressShirt,0.001,basicLevel,0.4306
item22,dressShirt,0.001,superDomain,0.1431
item22,hawaiiShirt,0.001,type,0.4245
item22,hawaiiShirt,0.001,basicLevel,0.4319
item22,hawaiiShirt,0.001,superDomain,0.1435
item22,tShirt,0.001,type,0.4272
item22,tShirt,0.001,basicLevel,0.4299
item22,tShirt,0.001,superDomain,0.1429
item23,poloShirt,0.001,type,0.3981
item23,poloShirt,0.001,basicLevel,0.4017
item23,poloShirt,0.001,superDomain,0.2002
item23,dressShirt,0.001,type,0.3979
item23,dressShirt,0.001,basicLevel,0.4018
item23,dressShirt,0.001,superDomain,0.2003
item23,hawaiiShirt,0.001,type,0.3961
item23,hawaiiShirt,0.001,basicLevel,0.4030
item23,hawaiiShirt,0.001,superDomain,0.2009
item23,tShirt,0.001,type,0.3987
item23,tShirt,0.001,basicLevel,0.4012
item23,tShirt,0.001,superDomain,0.2000
item33,poloShirt,0.001,type,0.3317
item33,poloShirt,0.001,basicLevel,0.3346
item33,poloShirt,0.001,superDomain,0.3337
item33,dressShirt,0.001,type,0.3315
item33,dressShirt,0.001,basicLevel,0.3348
item33,dressShirt,0.001,superDomain,0.3338
item33,hawaiiShirt,0.001,type,0.3298
item33,hawaiiShirt,0.001,basicLevel,0.3356
item33,hawaiiShirt,0.001,superDomain,0.3346
item33,tShirt,0.001,type,0.3323
item33,tShirt,0.001,basicLevel,0.3344
item33,tShirt,0.001,superDomain,0.3334
