condition,target,priorWeight,label,prob
item12,coffeeTable,0.001,type,0.5432
item12,coffeeTable,0.001,basicLevel,0.2748
item12,coffeeTable,0.001,superDomain,0.1820
item12,diningTable,0.001,type,0.5431
item12,diningTable,0.001,basicLevel,0.2749
item12,diningTable,0.001,superDomain,0.1820
item12,picnicTable,0.001,type,0.5431
item12,picnicTable,0.001,basicLevel,0.2749
item12,picnicTable,0.001,superDomain,0.1820
item12,bedsideTable,0.001,type,0.5428
item12,bedsideTable,0.001,basicLevel,0.2751
item12,bedsideTable,0.001,superDomain,0.1821
item22,coffeeTable,0.001,type,0.4261
item22,coffeeTable,0.001,basicLevel,0.4311
item22,coffeeTable,0.001,superDomain,0.1427
item22,diningTable,0.001,type,0.4260
item22,diningTable,0.001,basicLevel,0.4313
item22,diningTable,0.001,superDomain,0.1428
item22,picnicTable,0.001,type,0.4260
item22,picnicTable,0.001,basicLevel,0.4313
item22,picnicTable,0.001,superDomain,0.1428
item22,bedsideTable,0.001,type,0.4257
item22,bedsideTable,0.001,basicLevel,0.4315
item22,bedsideTable,0.001,superDomain,0.1428
item23,coffeeTable,0.001,type,0.3977
item23,coffeeTable,0.001,basicLevel,0.4024
item23,coffeeTable,0.001,superDomain,0.1998
item23,diningTable,0.001,type,0.3976
item23,diningTable,0.001,basicLevel,0.4025
item23,diningTable,0.001,superDomain,0.1999
item23,picnicTable,0.001,type,0.3976
item23,picnicTable,0.001,basicLevel,0.4025
item23,picnicTable,0.001,superDomain,0.1999
item23,bedsideTable,0.001,type,0.3973
item23,bedsideTable,0.001,basicLevel,0.4027
item23,bedsideTable,0.001,superDomain,0.2000
item33,coffeeTable,0.001,type,0.3315
item33,coffeeTable,0.001,basicLevel,0.3354
item33,coffeeTable,0.001,superDomain,0.3331
item33,diningTable,0.001,type,0.3314
item33,diningTable,0.001,basicLevel,0.3355
item33,diningTable,0.001,superDomain,0.3332
item33,picnicTable,0.001,type,0.3313
item33,picnicTable,0.001,basicLevel,0.3355
item33,picnicTable,0.001,superDomain,0.3332
item33,bedsideTable,0.001,type,0.3311
item33,bedsideTable,0.001,basicLevel,0.3356
item33,bedsideTable,0.001,superDomain,0.3333
