condition,target,priorWeight,label,prob
item12,eagle,0.005,type,0.5427
item12,eagle,0.005,basicLevel,0.2751
item12,eagle,0.005,superDomain,0.1822
item12,parrot,0.005,type,0.5398
item12,parrot,0.005,basicLevel,0.2769
item12,parrot,0.005,superDomain,0.1834
item12,pigeon,0.005,type,0.5405
item12,pigeon,0.005,basicLevel,0.2764
item12,pigeon,0.005,superDomain,0.1830
item12,hummingBird,0.005,type,0.5321
item12,hummingBird,0.005,basicLevel,0.2815
item12,hummingBird,0.005,superDomain,0.1864
item22,eagle,0.005,type,0.4256
item22,eagle,0.005,basicLevel,0.4315
item22,eagle,0.005,superDomain,0.1429
item22,parrot,0.005,type,0.4227
item22,parrot,0.005,basicLevel,0.4337
item22,parrot,0.005,superDomain,0.1436
item22,pigeon,0.005,type,0.4235
item22,pigeon,0.005,basicLevel,0.4331
item22,pigeon,0.005,superDomain,0.1434
item22,hummingBird,0.005,type,0.4152
item22,hummingBird,0.005,basicLevel,0.4393
item22,hummingBird,0.005,superDomain,0.1455
item23,eagle,0.005,type,0.3972
item23,eagle,0.005,basicLevel,0.4027
item23,eagle,0.005,superDomain,0.2000
item23,parrot,0.005,type,0.3944
item23,parrot,0.005,basicLevel,0.4046
item23,parrot,0.005,superDomain,0.2010
item23,pigeon,0.005,type,0.3952
item23,pigeon,0.005,basicLevel,0.4041
item23,pigeon,0.005,superDomain,0.2007
item23,hummingBird,0.005,type,0.3871
item23,hummingBird,0.005,basicLevel,0.4095
item23,hummingBird,0.005,superDomain,0.2034
item33,eagle,0.005,type,0.3310
item33,eagle,0.005,basicLevel,0.3356
item33,eagle,0.005,superDomain,0.3334
item33,parrot,0.005,type,0.3284
item33,parrot,0.005,basicLevel,0.3369
item33,parrot,0.005,superDomain,0.3347
item33,pigeon,0.005,type,0.3291
item33,pigeon,0.005,basicLevel,0.3366
item33,pigeon,0.005,superDomain,0.3343
item33,hummingBird,0.005,type,0.3217
item33,hummingBird,0.005,basicLevel,0.3403
item33,hummingBird,0.005,superDomain,0.3380
