condition,target,priorWeight,label,prob
item12,convertible,0.005,type,0.5308
item12,convertible,0.005,basicLevel,0.2843
item12,convertible,0.005,superDomain,0.1849
item12,minivan,0.005,type,0.5354
item12,minivan,0.005,basicLevel,0.2815
item12,minivan,0.005,superDomain,0.1831
item12,sportsCar,0.005,type,0.5341
item12,sportsCar,0.005,basicLevel,0.2823
item12,sportsCar,0.005,superDomain,0.1836
item12,suv,0.005,type,0.5413
item12,suv,0.005,basicLevel,0.2779
item12,suv,0.005,superDomain,0.1808
item22,convertible,0.005,type,0.4133
item22,convertible,0.005,basicLevel,0.4427
item22,convertible,0.005,superDomain,0.1440
item22,minivan,0.005,type,0.4178
item22,minivan,0.005,basicLevel,0.4393
item22,minivan,0.005,superDomain,0.1429
item22,sportsCar,0.005,type,0.4165
item22,sportsCar,0.005,basicLevel,0.4403
item22,sportsCar,0.005,superDomain,0.1432
item22,suv,0.005,type,0.4236
item22,suv,0.005,basicLevel,0.4349
item22,suv,0.005,superDomain,0.1415
item23,convertible,0.005,type,0.3855
item23,convertible,0.005,basicLevel,0.4130
item23,convertible,0.005,superDomain,0.2015
item23,minivan,0.005,type,0.3899
item23,minivan,0.005,basicLevel,0.4100
item23,minivan,0.005,superDomain,0.2001
item23,sportsCar,0.005,type,0.3887
item23,sportsCar,0.005,basicLevel,0.4108
item23,sportsCar,0.005,superDomain,0.2005
item23,suv,0.005,type,0.3956
item23,suv,0.005,basicLevel,0.4062
item23,suv,0.005,superDomain,0.1982
item33,convertible,0.005,type,0.3209
item33,convertible,0.005,basicLevel,0.3437
item33,convertible,0.005,superDomain,0.3354
item33,minivan,0.005,type,0.3249
item33,minivan,0.005,basicLevel,0.3417
item33,minivan,0.005,superDomain,0.3334
item33,sportsCar,0.005,type,0.3238
item33,sportsCar,0.005,basicLevel,0.3422
item33,sportsCar,0.005,superDomain,0.3340
item33,suv,0.005,type,0.3302
item33,suv,0.005,basicLevel,0.3390
item33,suv,0.005,superDomain,0.3308
