condition,target,priorWeight,label,prob
item12,dalmatian,0.005,type,0.5316
item12,dalmatian,0.005,basicLevel,0.2824
item12,dalmatian,0.005,superDomain,0.1860
item12,pug,0.005,type,0.5402
item12,pug,0.005,basicLevel,0.2772
item12,pug,0.005,superDomain,0.1826
item12,germanShepherd,0.005,type,0.5262
item12,germanShepherd,0.005,basicLevel,0.2856
item12,germanShepherd,0.005,superDomain,0.1881
item12,husky,0.005,type,0.5371
item12,husky,0.005,basicLevel,0.2790
item12,husky,0.005,superDomain,0.1838
item22,dalmatian,0.005,type,0.4146
item22,dalmatian,0.005,basicLevel,0.4404
item22,dalmatian,0.005,superDomain,0.1450
item22,pug,0.005,type,0.4230
item22,pug,0.005,basicLevel,0.4341
item22,pug,0.005,superDomain,0.1430
item22,germanShepherd,0.005,type,0.4093
item22,germanShepherd,0.005,basicLevel,0.4443
item22,germanShepherd,0.005,superDomain,0.1463
item22,husky,0.005,type,0.4200
item22,husky,0.005,basicLevel,0.4363
item22,husky,0.005,superDomain,0.1437
item23,dalmatian,0.005,type,0.3865
item23,dalmatian,0.005,basicLevel,0.4106
item23,dalmatian,0.005,superDomain,0.2029
item23,pug,0.005,type,0.3947
item23,pug,0.005,basicLevel,0.4051
item23,pug,0.005,superDomain,0.2001
item23,germanShepherd,0.005,type,0.3814
item23,germanShepherd,0.005,basicLevel,0.4140
item23,germanShepherd,0.005,superDomain,0.2046
item23,husky,0.005,type,0.3918
item23,husky,0.005,basicLevel,0.4071
item23,husky,0.005,superDomain,0.2011
item33,dalmatian,0.005,type,0.3213
item33,dalmatian,0.005,basicLevel,0.3414
item33,dalmatian,0.005,superDomain,0.3373
item33,pug,0.005,type,0.3289
item33,pug,0.005,basicLevel,0.3376
item33,pug,0.005,superDomain,0.3335
item33,germanShepherd,0.005,type,0.3166
item33,germanShepherd,0.005,basicLevel,0.3437
item33,germanShepherd,0.005,superDomain,0.3396
item33,husky,0.005,type,0.3262
item33,husky,0.005,basicLevel,0.3389
item33,husky,0.005,superDomain,0.3349
