condition,target,priorWeight,label,prob
item12,clownFish,0.005,type,0.5305
item12,clownFish,0.005,basicLevel,0.2825
item12,clownFish,0.005,superDomain,0.1871
item12,goldFish,0.005,type,0.5337
item12,goldFish,0.005,basicLevel,0.2805
item12,goldFish,0.005,superDomain,0.1858
item12,swordFish,0.005,type,0.5342
item12,swordFish,0.005,basicLevel,0.2802
item12,swordFish,0.005,superDomain,0.1856
item12,catfish,0.005,type,0.5374
item12,catfish,0.005,basicLevel,0.2783
item12,catfish,0.005,superDomain,0.1843
item22,clownFish,0.005,type,0.4136
item22,clownFish,0.005,basicLevel,0.4405
item22,clownFish,0.005,superDomain,0.1459
item22,goldFish,0.005,type,0.4168
item22,goldFish,0.005,basicLevel,0.4381
item22,goldFish,0.005,superDomain,0.1451
item22,swordFish,0.005,type,0.4172
item22,swordFish,0.005,basicLevel,0.4378
item22,swordFish,0.005,superDomain,0.1450
item22,catfish,0.005,type,0.4204
item22,catfish,0.005,basicLevel,0.4354
item22,catfish,0.005,superDomain,0.1442
item23,clownFish,0.005,type,0.3855
item23,clownFish,0.005,basicLevel,0.4105
item23,clownFish,0.005,superDomain,0.2039
item23,goldFish,0.005,type,0.3886
item23,goldFish,0.005,basicLevel,0.4085
item23,goldFish,0.005,superDomain,0.2029
item23,swordFish,0.005,type,0.3890
item23,swordFish,0.005,basicLevel,0.4082
item23,swordFish,0.005,superDomain,0.2028
item23,catfish,0.005,type,0.3921
item23,catfish,0.005,basicLevel,0.4061
item23,catfish,0.005,superDomain,0.2017
item33,clownFish,0.005,type,0.3202
item33,clownFish,0.005,basicLevel,0.3410
item33,clownFish,0.005,superDomain,0.3388
item33,goldFish,0.005,type,0.3231
item33,goldFish,0.005,basicLevel,0.3396
item33,goldFish,0.005,superDomain,0.3374
item33,swordFish,0.005,type,0.3235
item33,swordFish,0.005,basicLevel,0.3394
item33,swordFish,0.005,superDomain,0.3372
item33,catfish,0.005,type,0.3263
item33,catfish,0.005,basicLevel,0.3379
item33,catfish,0.005,superDomain,0.3358
