condition,target,priorWeight,label,prob
item12,blackBear,0.05,type,0.4402
item12,blackBear,0.05,basicLevel,0.3371
item12,blackBear,0.05,superDomain,0.2227
item12,polarBear,0.05,type,0.4426
item12,polarBear,0.05,basicLevel,0.3356
item12,polarBear,0.05,superDomain,0.2218
item12,pandaBear,0.05,type,0.3988
item12,pandaBear,0.05,basicLevel,0.3620
item12,pandaBear,0.05,superDomain,0.2392
item12,grizzlyBear,0.05,type,0.4143
item12,grizzlyBear,0.05,basicLevel,0.3527
item12,grizzlyBear,0.05,superDomain,0.2331
item22,blackBear,0.05,type,0.3292
item22,blackBear,0.05,basicLevel,0.5042
item22,blackBear,0.05,superDomain,0.1666
item22,polarBear,0.05,type,0.3314
item22,polarBear,0.05,basicLevel,0.5026
item22,polarBear,0.05,superDomain,0.1661
item22,pandaBear,0.05,type,0.2928
item22,pandaBear,0.05,basicLevel,0.5315
item22,pandaBear,0.05,superDomain,0.1756
item22,grizzlyBear,0.05,type,0.3063
item22,grizzlyBear,0.05,basicLevel,0.5215
item22,grizzlyBear,0.05,superDomain,0.1723
item23,blackBear,0.05,type,0.3039
item23,blackBear,0.05,basicLevel,0.4654
item23,blackBear,0.05,superDomain,0.2307
item23,polarBear,0.05,type,0.3060
item23,polarBear,0.05,basicLevel,0.4640
item23,polarBear,0.05,superDomain,0.2300
item23,pandaBear,0.05,type,0.2692
item23,pandaBear,0.05,basicLevel,0.4886
item23,pandaBear,0.05,superDomain,0.2422
item23,grizzlyBear,0.05,type,0.2820
item23,grizzlyBear,0.05,basicLevel,0.4801
item23,grizzlyBear,0.05,superDomain,0.2379
item33,blackBear,0.05,type,0.2470
item33,blackBear,0.05,basicLevel,0.3782
item33,blackBear,0.05,superDomain,0.3749
item33,polarBear,0.05,type,0.2488
item33,polarBear,0.05,basicLevel,0.3773
item33,polarBear,0.05,superDomain,0.3740
item33,pandaBear,0.05,type,0.2167
item33,pandaBear,0.05,basicLevel,0.3934
item33,pandaBear,0.05,superDomain,0.3899
item33,grizzlyBear,0.05,type,0.2278
item33,grizzlyBear,0.05,basicLevel,0.3878
item33,grizzlyBear,0.05,superDomain,0.3844
