domain,condition,target,alpha,lengthWeight,freqWeight,label,modelProb
dog,item12,dalmatian,0.50,1.00,1.00,type,0.4307
dog,item12,dalmatian,0.50,1.00,1.00,basicLevel,0.2687
dog,item12,dalmatian,0.50,1.00,1.00,superDomain,0.3005
dog,item12,dalmatian,1.00,1.00,1.00,type,0.5423
dog,item12,dalmatian,1.00,1.00,1.00,basicLevel,0.2392
dog,item12,dalmatian,1.00,1.00,1.00,superDomain,0.2185
dog,item12,dalmatian,1.50,1.00,1.00,type,0.6475
dog,item12,dalmatian,1.50,1.00,1.00,basicLevel,0.2020
dog,item12,dalmatian,1.50,1.00,1.00,superDomain,0.1506
dog,item12,dalmatian,2.00,1.00,1.00,type,0.7381
dog,item12,dalmatian,2.00,1.00,1.00,basicLevel,0.1628
dog,item12,dalmatian,2.00,1.00,1.00,superDomain,0.0991
dog,item12,dalmatian,2.50,1.00,1.00,type,0.8107
dog,item12,dalmatian,2.50,1.00,1.00,basicLevel,0.1264
dog,item12,dalmatian,2.50,1.00,1.00,superDomain,0.0628
dog,item12,dalmatian,3.00,1.00,1.00,type,0.8658
dog,item12,dalmatian,3.00,1.00,1.00,basicLevel,0.0955
dog,item12,dalmatian,3.00,1.00,1.00,superDomain,0.0387
dog,item12,dalmatian,3.50,1.00,1.00,type,0.9059
dog,item12,dalmatian,3.50,1.00,1.00,basicLevel,0.0707
dog,item12,dalmatian,3.50,1.00,1.00,superDomain,0.0234
dog,item12,dalmatian,4.00,1.00,1.00,type,0.9345
dog,item12,dalmatian,4.00,1.00,1.00,basicLevel,0.0515
dog,item12,dalmatian,4.00,1.00,1.00,superDomain,0.0139
dog,item12,dalmatian,4.50,1.00,1.00,type,0.9546
dog,item12,dalmatian,4.50,1.00,1.00,basicLevel,0.0372
dog,item12,dalmatian,4.50,1.00,1.00,superDomain,0.0082
dog,item12,dalmatian,5.00,1.00,1.00,type,0.9685
dog,item12,dalmatian,5.00,1.00,1.00,basicLevel,0.0267
dog,item12,dalmatian,5.00,1.00,1.00,superDomain,0.0048
dog,item12,dalmatian,5.50,1.00,1.00,type,0.9781
dog,item12,dalmatian,5.50,1.00,1.00,basicLevel,0.0191
dog,item12,dalmatian,5.50,1.00,1.00,superDomain,0.0028
dog,item12,dalmatian,6.00,1.00,1.00,type,0.9848
dog,item12,dalmatian,6.00,1.00,1.00,basicLevel,0.0136
dog,item12,dalmatian,6.00,1.00,1.00,superDomain,0.0016
dog,item12,dalmatian,6.50,1.00,1.00,type,0.9894
dog,item12,dalmatian,6.50,1.00,1.00,basicLevel,0.0096
dog,item12,dalmatian,6.50,1.00,1.00,superDomain,0.0009
dog,item12,dalmatian,7.00,1.00,1.00,type,0.9926
dog,item12,dalmatian,7.00,1.00,1.00,basicLevel,0.0068
dog,item12,dalmatian,7.00,1.00,1.00,superDomain,0.0005
dog,item12,dalmatian,7.50,1.00,1.00,type,0.9948
dog,item12,dalmatian,7.50,1.00,1.00,basicLevel,0.0048
dog,item12,dalmatian,7.50,1.00,1.00,superDomain,0.0003
dog,item12,dalmatian,8.00,1.00,1.00,type,0.9964
dog,item12,dalmatian,8.00,1.00,1.00,basicLevel,0.0034
dog,item12,dalmatian,8.00,1.00,1.00,superDomain,0.0002
dog,item12,dalmatian,8.50,1.00,1.00,type,0.9975
dog,item12,dalmatian,8.50,1.00,1.00,basicLevel,0.0024
dog,item12,dalmatian,8.50,1.00,1.00,superDomain,0.0001
dog,item12,dalmatian,9.00,1.00,1.00,type,0.9982
dog,item12,dalmatian,9.00,1.00,1.00,basicLevel,0.0017
dog,item12,dalmatian,9.00,1.00,1.00,superDomain,0.0001
dog,item12,dalmatian,9.50,1.00,1.00,type,0.9987
dog,item12,dalmatian,9.50,1.00,1.00,basicLevel,0.0012
dog,item12,dalmatian,9.50,1.00,1.00,superDomain,0.0000
dog,item12,pug,0.50,1.00,1.00,type,0.3181
dog,item12,pug,0.50,1.00,1.00,basicLevel,0.3219
dog,item12,pug,0.50,1.00,1.00,superDomain,0.3600
dog,item12,pug,1.00,1.00,1.00,type,0.4221
dog,item12,pug,1.00,1.00,1.00,basicLevel,0.3021
dog,item12,pug,1.00,1.00,1.00,superDomain,0.2758
dog,item12,pug,1.50,1.00,1.00,type,0.5310
dog,item12,pug,1.50,1.00,1.00,basicLevel,0.2687
dog,item12,pug,1.50,1.00,1.00,superDomain,0.2003
dog,item12,pug,2.00,1.00,1.00,type,0.6347
dog,item12,pug,2.00,1.00,1.00,basicLevel,0.2271
dog,item12,pug,2.00,1.00,1.00,superDomain,0.1382
dog,item12,pug,2.50,1.00,1.00,type,0.7253
dog,item12,pug,2.50,1.00,1.00,basicLevel,0.1835
dog,item12,pug,2.50,1.00,1.00,superDomain,0.0912
dog,item12,pug,3.00,1.00,1.00,type,0.7990
dog,item12,pug,3.00,1.00,1.00,basicLevel,0.1429
dog,item12,pug,3.00,1.00,1.00,superDomain,0.0580
dog,item12,pug,3.50,1.00,1.00,type,0.8559
dog,item12,pug,3.50,1.00,1.00,basicLevel,0.1083
dog,item12,pug,3.50,1.00,1.00,superDomain,0.0359
dog,item12,pug,4.00,1.00,1.00,type,0.8979
dog,item12,pug,4.00,1.00,1.00,basicLevel,0.0803
dog,item12,pug,4.00,1.00,1.00,superDomain,0.0217
dog,item12,pug,4.50,1.00,1.00,type,0.9283
dog,item12,pug,4.50,1.00,1.00,basicLevel,0.0587
dog,item12,pug,4.50,1.00,1.00,superDomain,0.0130
dog,item12,pug,5.00,1.00,1.00,type,0.9499
dog,item12,pug,5.00,1.00,1.00,basicLevel,0.0425
dog,item12,pug,5.00,1.00,1.00,superDomain,0.0077
dog,item12,pug,5.50,1.00,1.00,type,0.9650
dog,item12,pug,5.50,1.00,1.00,basicLevel,0.0305
dog,item12,pug,5.50,1.00,1.00,superDomain,0.0045
dog,item12,pug,6.00,1.00,1.00,type,0.9756
dog,item12,pug,6.00,1.00,1.00,basicLevel,0.0218
dog,item12,pug,6.00,1.00,1.00,superDomain,0.0026
dog,item12,pug,6.50,1.00,1.00,type,0.9829
dog,item12,pug,6.50,1.00,1.00,basicLevel,0.0155
dog,item12,pug,6.50,1.00,1.00,superDomain,0.0015
dog,item12,pug,7.00,1.00,1.00,type,0.9881
dog,item12,pug,7.00,1.00,1.00,basicLevel,0.0110
dog,item12,pug,7.00,1.00,1.00,superDomain,0.0009
dog,item12,pug,7.50,1.00,1.00,type,0.9916
dog,item12,pug,7.50,1.00,1.00,basicLevel,0.0078
dog,item12,pug,7.50,1.00,1.00,superDomain,0.0005
dog,item12,pug,8.00,1.00,1.00,type,0.9941
dog,item12,pug,8.00,1.00,1.00,basicLevel,0.0056
dog,item12,pug,8.00,1.00,1.00,superDomain,0.0003
dog,item12,pug,8.50,1.00,1.00,type,0.9959
dog,item12,pug,8.50,1.00,1.00,basicLevel,0.0039
dog,item12,pug,8.50,1.00,1.00,superDomain,0.0002
dog,item12,pug,9.00,1.00,1.00,type,0.9971
dog,item12,pug,9.00,1.00,1.00,basicLevel,0.0028
dog,item12,pug,9.00,1.00,1.00,superDomain,0.0001
dog,item12,pug,9.50,1.00,1.00,type,0.9980
dog,item12,pug,9.50,1.00,1.00,basicLevel,0.0020
dog,item12,pug,9.50,1.00,1.00,superDomain,0.0001
dog,item12,germanShepherd,0.50,1.00,1.00,type,0.5554
dog,item12,germanShepherd,0.50,1.00,1.00,basicLevel,0.2099
dog,item12,germanShepherd,0.50,1.00,1.00,superDomain,0.2347
dog,item12,germanShepherd,1.00,1.00,1.00,type,0.6617
dog,item12,germanShepherd,1.00,1.00,1.00,basicLevel,0.1768
dog,item12,germanShepherd,1.00,1.00,1.00,superDomain,0.1614
dog,item12,germanShepherd,1.50,1.00,1.00,type,0.7520
dog,item12,germanShepherd,1.50,1.00,1.00,basicLevel,0.1421
dog,item12,germanShepherd,1.50,1.00,1.00,superDomain,0.1059
dog,item12,germanShepherd,2.00,1.00,1.00,type,0.8231
dog,item12,germanShepherd,2.00,1.00,1.00,basicLevel,0.1100
dog,item12,germanShepherd,2.00,1.00,1.00,superDomain,0.0669
dog,item12,germanShepherd,2.50,1.00,1.00,type,0.8761
dog,item12,germanShepherd,2.50,1.00,1.00,basicLevel,0.0828
dog,item12,germanShepherd,2.50,1.00,1.00,superDomain,0.0411
dog,item12,germanShepherd,3.00,1.00,1.00,type,0.9142
dog,item12,germanShepherd,3.00,1.00,1.00,basicLevel,0.0611
dog,item12,germanShepherd,3.00,1.00,1.00,superDomain,0.0248
dog,item12,germanShepherd,3.50,1.00,1.00,type,0.9408
dog,item12,germanShepherd,3.50,1.00,1.00,basicLevel,0.0444
dog,item12,germanShepherd,3.50,1.00,1.00,superDomain,0.0147
dog,item12,germanShepherd,4.00,1.00,1.00,type,0.9593
dog,item12,germanShepherd,4.00,1.00,1.00,basicLevel,0.0320
dog,item12,germanShepherd,4.00,1.00,1.00,superDomain,0.0087
dog,item12,germanShepherd,4.50,1.00,1.00,type,0.9720
dog,item12,germanShepherd,4.50,1.00,1.00,basicLevel,0.0230
dog,item12,germanShepherd,4.50,1.00,1.00,superDomain,0.0051
dog,item12,germanShepherd,5.00,1.00,1.00,type,0.9807
dog,item12,germanShepherd,5.00,1.00,1.00,basicLevel,0.0164
dog,item12,germanShepherd,5.00,1.00,1.00,superDomain,0.0030
dog,item12,germanShepherd,5.50,1.00,1.00,type,0.9866
dog,item12,germanShepherd,5.50,1.00,1.00,basicLevel,0.0117
dog,item12,germanShepherd,5.50,1.00,1.00,superDomain,0.0017
dog,item12,germanShepherd,6.00,1.00,1.00,type,0.9907
dog,item12,germanShepherd,6.00,1.00,1.00,basicLevel,0.0083
dog,item12,germanShepherd,6.00,1.00,1.00,superDomain,0.0010
dog,item12,germanShepherd,6.50,1.00,1.00,type,0.9936
dog,item12,germanShepherd,6.50,1.00,1.00,basicLevel,0.0059
dog,item12,germanShepherd,6.50,1.00,1.00,superDomain,0.0006
dog,item12,germanShepherd,7.00,1.00,1.00,type,0.9955
dog,item12,germanShepherd,7.00,1.00,1.00,basicLevel,0.0042
dog,item12,germanShepherd,7.00,1.00,1.00,superDomain,0.0003
dog,item12,germanShepherd,7.50,1.00,1.00,type,0.9969
dog,item12,germanShepherd,7.50,1.00,1.00,basicLevel,0.0029
dog,item12,germanShepherd,7.50,1.00,1.00,superDomain,0.0002
dog,item12,germanShepherd,8.00,1.00,1.00,type,0.9978
dog,item12,germanShepherd,8.00,1.00,1.00,basicLevel,0.0021
dog,item12,germanShepherd,8.00,1.00,1.00,superDomain,0.0001
dog,item12,germanShepherd,8.50,1.00,1.00,type,0.9985
dog,item12,germanShepherd,8.50,1.00,1.00,basicLevel,0.0015
dog,item12,germanShepherd,8.50,1.00,1.00,superDomain,0.0001
dog,item12,germanShepherd,9.00,1.00,1.00,type,0.9989
dog,item12,germanShepherd,9.00,1.00,1.00,basicLevel,0.0010
dog,item12,germanShepherd,9.00,1.00,1.00,superDomain,0.0000
dog,item12,germanShepherd,9.50,1.00,1.00,type,0.9992
dog,item12,germanShepherd,9.50,1.00,1.00,basicLevel,0.0007
dog,item12,germanShepherd,9.50,1.00,1.00,superDomain,0.0000
dog,item12,husky,0.50,1.00,1.00,type,0.3515
dog,item12,husky,0.50,1.00,1.00,basicLevel,0.3061
dog,item12,husky,0.50,1.00,1.00,superDomain,0.3423
dog,item12,husky,1.00,1.00,1.00,type,0.4591
dog,item12,husky,1.00,1.00,1.00,basicLevel,0.2827
dog,item12,husky,1.00,1.00,1.00,superDomain,0.2581
dog,item12,husky,1.50,1.00,1.00,type,0.5682
dog,item12,husky,1.50,1.00,1.00,basicLevel,0.2474
dog,item12,husky,1.50,1.00,1.00,superDomain,0.1844
dog,item12,husky,2.00,1.00,1.00,type,0.6688
dog,item12,husky,2.00,1.00,1.00,basicLevel,0.2059
dog,item12,husky,2.00,1.00,1.00,superDomain,0.1253
dog,item12,husky,2.50,1.00,1.00,type,0.7542
dog,item12,husky,2.50,1.00,1.00,basicLevel,0.1642
dog,item12,husky,2.50,1.00,1.00,superDomain,0.0816
dog,item12,husky,3.00,1.00,1.00,type,0.8221
