parameter,value,MCMCprob
alpha,38.70372037541112,0.00019999999999999985
lengthWeight,2.1478484925916534,0.00019999999999999985
typicality_color,0.9271385106288202,0.00019999999999999985
typicality_size,0.8630818735250525,0.00019999999999999985
typicality_type,1,0.00019999999999999985
cost_color,0.10177640963605657,0.00019999999999999985
cost_size,0.6582789587817911,0.00019999999999999985
cost_type,1,0.00019999999999999985
alpha,38.7034246356138,0.00019999999999999985
lengthWeight,2.1490775160579214,0.00019999999999999985
typicality_color,0.9317161250509025,0.00019999999999999985
typicality_size,0.8586131347928587,0.00019999999999999985
typicality_type,1,0.00019999999999999985
cost_color,0.10212453722771687,0.00019999999999999985
cost_size,0.6657755338254944,0.00019999999999999985
cost_type,1,0.00019999999999999985
alpha,38.70482447240299,0.00019999999999999985
lengthWeight,2.1486713717322194,0.00019999999999999985
typicality_color,0.932647133836814,0.00019999999999999985
typicality_size,0.8551910195347836,0.00019999999999999985
typicality_type,1,0.00019999999999999985
cost_color,0.09786112039500858,0.00019999999999999985
cost_size,0.6671376791399246,0.00019999999999999985
cost_type,1,0.00019999999999999985
alpha,38.70317130164705,0.00019999999999999985
lengthWeight,2.152453955453034,0.00019999999999999985
typicality_color,0.9272305656008326,0.00019999999999999985
typicality_size,0.8573692267302071,0.00019999999999999985
typicality_type,1,0.00019999999999999985
cost_color,0.09541489885450836,0.00019999999999999985
cost_size,0.6660122066821679,0.00019999999999999985
cost_type,1,0.00019999999999999985
alpha,38.70480705547447,0.00019999999999999985
lengthWeight,2.1521396285797283,0.00019999999999999985
typicality_color,0.9321583453371207,0.00019999999999999985
typicality_size,0.8591934466001814,0.00019999999999999985
typicality_type,1,0.00019999999999999985
cost_color,0.09700141961924387,0.00019999999999999985
cost_size,0.6728298179953696,0.00019999999999999985
cost_type,1,0.00019999999999999985
alpha,38.70050413324871,0.00019999999999999985
lengthWeight,2.1543378549366907,0.00019999999999999985
typicality_color,0.9299690619651876,0.00019999999999999985
typicality_size,0.8595467439554422,0.00019999999999999985
typicality_type,1,0.00019999999999999985
cost_color,0.0948630319425065,0.00019999999999999985
cost_size,0.6705181183493353,0.00019999999999999985
cost_type,1,0.00019999999999999985
alpha,38.70521650803396,0.00019999999999999985
lengthWeight,2.154460548315105,0.00019999999999999985
typicality_color,0.9320853117524778,0.00019999999999999985
typicality_size,0.8561017252284906,0.00019999999999999985
typicality_type,1,0.00019999999999999985
cost_color,0.09492652478644849,0.00019999999999999985
cost_size,0.6695615487433193,0.00019999999999999985
cost_type,1,0.00019999999999999985
alpha,38.706923805221294,0.00019999999999999985
lengthWeight,2.1494188374548915,0.00019999999999999985
typicality_color,0.9296408312915168,0.00019999999999999985
typicality_size,0.8537255845393887,0.00019999999999999985
typicality_type,1,0.00019999999999999985
cost_color,0.096328844820186,0.00019999999999999985
cost_size,0.6716403009568204,0.00019999999999999985
cost_type,1,0.00019999999999999985
alpha,38.711809623582106,0.00019999999999999985
lengthWeight,2.1525960409880405,0.00019999999999999985
typicality_color,0.9271329751218902,0.00019999999999999985
