Item	Color	rescaledTypicality
avocado	black	0.884243343444557
avocado	green	0.962153931339978
balloon	pink	0.932508127031758
balloon	yellow	0.95584918957012
belt	black	0.947225622195022
belt	brown	0.911385658914729
bike	purple	0.844767441860465
bike	red	0.910505915952672
billiardball	orange	0.925658914728682
billiardball	purple	0.937163702690379
binder	blue	0.828408572731418
binder	green	0.829934406678593
book	black	0.932777216043141
book	blue	0.887403100775194
bracelet	green	0.854814361485108
bracelet	purple	0.870833333333333
bucket	pink	0.864354928017719
bucket	red	0.96768038163387
butterfly	blue	0.87452934662237
butterfly	purple	0.838307493540052
candle	blue	0.879005167958656
candle	red	0.915426356589147
cap	blue	0.822868217054263
cap	orange	0.819417354338585
chair	green	0.845736434108527
chair	red	0.839599483204134
coathanger	orange	0.715585475316197
coathanger	purple	0.770639534883721
comb	black	1
comb	blue	0.86077519379845
cushion	blue	0.915019379844961
cushion	orange	0.882910500352361
flower	purple	0.895512035903713
flower	red	0.921040974529347
framee	green	0.822757475083056
framee	pink	0.813143058491896
golfball	blue	0.918353853169175
golfball	pink	0.901614987080103
guitar	blue	0.872868217054263
guitar	green	0.882461240310077
hairdryer	pink	0.725809393524852
hairdryer	purple	0.837300501595987
jacket	brown	0.82469545957918
jacket	green	0.822392529950669
napkin	orange	0.846929039952296
napkin	yellow	0.894186046511628
ornament	blue	0.949280177187154
ornament	purple	0.900242248062015
pepper	green	0.901937984496124
pepper	red	0.953536821705426
phone	pink	0.730103359173127
phone	white	0.736886304909561
rock	green	0.611504580690627
rock	purple	0.676701119724375
rug	blue	0.855426356589147
rug	purple	0.911950904392765
shoe	white	0.837372501019992
shoe	yellow	0.814728682170543
stapler	purple	0.886081747709655
stapler	red	0.937112403100775
tack	blue	0.898449612403101
tack	red	0.948449612403101
teacup	pink	0.774677002583979
teacup	white	0.943189368770764
toothbrush	blue	0.930361757105943
toothbrush	red	0.843186454508364
turtle	black	0.822936616507068
turtle	brown	0.917265680056378
weddingcake	pink	0.87906976744186
weddingcake	white	0.891321199865184
yarn	purple	0.936821705426357
yarn	red	0.963565891472868
