object,color_fidelity,size_fidelity,type_fidelity,one_fidelity,color_cost,size_cost,type_cost,speaker-opt,context,small_green_tv,big_red_fan,small_green_desk,blue_one,big_red_one,small_gray_couch,brown_tv,chair,big_green_one,blue_couch,big_green_couch,small_blue_couch,big_green_fan,tv,small_blue_fan,small_blue_desk,small_brown_tv,fan,small_fan,desk,big_gray_couch,small_brown_chair,small_chair,big_green_desk,brown_one,small_red_fan,big_gray_desk,big_gray_chair,green_one,gray_chair,small_couch,big_red_chair,red_fan,small_blue_tv,red_chair,small_red_one,big_brown_chair,gray_desk,gray_fan,small_red_chair,small_green_chair,big_blue_couch,big_chair,big_red_desk,small_green_couch,red_couch,green_tv,brown_desk,small_blue_chair,small_brown_desk,big_gray_one,red_desk,blue_desk,green_couch,small_red_desk,big_red_couch,big_red_tv,big_gray_fan,small_green_one,brown_fan,big_tv,small_tv,big_gray_tv,big_blue_fan,big_desk,small_one,blue_tv,big_brown_fan,small_desk,small_red_couch,big_blue_chair,green_chair,gray_one,big_one,big_brown_one,red_one,small_brown_one,blue_chair,big_blue_one,brown_couch,big_fan,big_blue_tv,green_fan,big_blue_desk,big_brown_couch,small_gray_tv,big_couch,small_brown_couch,big_green_tv,couch,blue_fan,green_desk,big_green_chair,small_brown_fan,small_gray_desk,small_red_tv,small_gray_chair,brown_chair,small_green_fan,gray_couch,small_gray_fan,big_brown_desk,big_brown_tv,gray_tv,small_blue_one,red_tv,small_gray_one
o1,0.9,0.7,0.7,0.7,0.1,0.1,0.1,5,lowvariation_exp1,0,0,0,0,0,0,0,0.002721304063245683,0.00421867696163566,0,0.0010011118180444007,0,0.13499766277234054,0.005305628104030138,0,0,0,0.3669616935984958,0,0.002721304063245683,0,0,0,0.0010011118180444007,0,0,0,0,0.006955422440861286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016505543487590768,0,0,0,0.0032180261141272933,0,0,0,0,0,0,0.0016505543487590768,0,0,0,0,0,0,0.0032180261141272933,0,0,0,0.0016505543487590768,0,0,0,0,0,0,0.0016505543487590768,0,0.006955422440861286,0,0,0,0,0,0,0.22257351810756137,0,0.2225735181075603,0,0,0,0.0016505543487590768,0,0.0019518315019741138,0.002721304063245683,0,0.0016505543487590768,0.0010011118180444007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o1,0.9,0.7,0.7,0.7,0.1,0.1,0.1,10,lowvariation_exp1,0,0,0,0,0,0,0,0.000029366845434368563,0.00007057578212140214,0,0.000003974370344626124,0,0.07226960089231518,0.00011162893136107998,0,0,0,0.5340041352406466,0,0.000029366845434368563,0,0,0,0.000003974370344626124,0,0,0,0,0.00019184486606989138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000010803458687363665,0,0,0,0.000041065988887679514,0,0,0,0,0,0,0.000010803458687363665,0,0,0,0,0,0,0.000041065988887679514,0,0,0,0.000010803458687363665,0,0,0,0,0,0,0.000010803458687363665,0,0.00019184486606989138,0,0,0,0,0,0,0.19644914285556914,0,0.19644914285556728,0,0,0,0.000010803458687363665,0,0.000015107333043152267,0.000029366845434368563,0,0.000010803458687363665,0.000003974370344626124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o1,0.9,0.7,0.7,0.7,0.1,0.1,0.1,15,lowvariation_exp1,0,0,0,0,0,0,0,2.7259471216645513e-7,0.000001015582083191866,0,1.3571691571349638e-8,0,0.03327859370203064,0.0000020202105359194745,0,0,0,0.668418422553899,0,2.7259471216645513e-7,0,0,0,1.3571691571349638e-8,0,0,0,0,0.0000045515231222721205,0,0,0,0,0,0,0,0,0,0,0,0,0,6.082410178131658e-8,0,0,0,4.5076990041325955e-7,0,0,0,0,0,0,6.082410178131658e-8,0,0,0,0,0,0,4.5076990041325955e-7,0,0,0,6.082410178131658e-8,0,0,0,0,0,0,6.082410178131658e-8,0,0.0000045515231222721205,0,0,0,0,0,0,0.14914430967061323,0,0.14914430967061112,0,0,0,6.082410178131658e-8,0,1.0058036006930304e-7,2.7259471216645513e-7,0,6.082410178131658e-8,1.3571691571349638e-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o1,0.9,0.7,0.7,0.7,0.1,0.1,0.1,18,lowvariation_exp1,0,0,0,0,0,0,0,1.583753497123473e-8,7.675818746954752e-8,0,4.327404098033129e-10,0,0.020121698296016757,1.7520344140197324e-7,0,0,0,0.7364186316425798,0,1.583753497123473e-8,0,0,0,4.327404098033129e-10,0,0,0,0,4.6435997419807815e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6179269229156133e-9,0,0,0,2.8960934076342212e-8,0,0,0,0,0,0,2.6179269229156133e-9,0,0,0,0,0,0,2.8960934076342212e-8,0,0,0,2.6179269229156133e-9,0,0,0,0,0,0,2.6179269229156133e-9,0,4.6435997419807815e-7,0,0,0,0,0,0,0.1217291810761814,0,0.12172918107617932,0,0,0,2.6179269229156133e-9,0,4.787210204678067e-9,1.583753497123473e-8,0,2.6179269229156133e-9,4.327404098033129e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o1,0.9,0.7,0.7,0.8,0.1,0.1,0.1,10,lowvariation_exp1,0,0,0,0,0,0,0,0.000029366845434368563,0.00007057578212140214,0,0.000003974370344626124,0,0.07226960089231518,0.00011162893136107998,0,0,0,0.5340041352406466,0,0.000029366845434368563,0,0,0,0.000003974370344626124,0,0,0,0,0.00019184486606989138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000010803458687363665,0,0,0,0.000041065988887679514,0,0,0,0,0,0,0.000010803458687363665,0,0,0,0,0,0,0.000041065988887679514,0,0,0,0.000010803458687363665,0,0,0,0,0,0,0.000010803458687363665,0,0.00019184486606989138,0,0,0,0,0,0,0.19644914285556914,0,0.19644914285556728,0,0,0,0.000010803458687363665,0,0.000015107333043152267,0.000029366845434368563,0,0.000010803458687363665,0.000003974370344626124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o1,0.9,0.7,0.7,0.8,0.1,0.1,0.1,15,lowvariation_exp1,0,0,0,0,0,0,0,2.7259471216645513e-7,0.000001015582083191866,0,1.3571691571349638e-8,0,0.03327859370203064,0.0000020202105359194745,0,0,0,0.668418422553899,0,2.7259471216645513e-7,0,0,0,1.3571691571349638e-8,0,0,0,0,0.0000045515231222721205,0,0,0,0,0,0,0,0,0,0,0,0,0,6.082410178131658e-8,0,0,0,4.5076990041325955e-7,0,0,0,0,0,0,6.082410178131658e-8,0,0,0,0,0,0,4.5076990041325955e-7,0,0,0,6.082410178131658e-8,0,0,0,0,0,0,6.082410178131658e-8,0,0.0000045515231222721205,0,0,0,0,0,0,0.14914430967061323,0,0.14914430967061112,0,0,0,6.082410178131658e-8,0,1.0058036006930304e-7,2.7259471216645513e-7,0,6.082410178131658e-8,1.3571691571349638e-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o1,0.9,0.7,0.7,0.8,0.1,0.1,0.1,18,lowvariation_exp1,0,0,0,0,0,0,0,1.583753497123473e-8,7.675818746954752e-8,0,4.327404098033129e-10,0,0.020121698296016757,1.7520344140197324e-7,0,0,0,0.7364186316425798,0,1.583753497123473e-8,0,0,0,4.327404098033129e-10,0,0,0,0,4.6435997419807815e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6179269229156133e-9,0,0,0,2.8960934076342212e-8,0,0,0,0,0,0,2.6179269229156133e-9,0,0,0,0,0,0,2.8960934076342212e-8,0,0,0,2.6179269229156133e-9,0,0,0,0,0,0,2.6179269229156133e-9,0,4.6435997419807815e-7,0,0,0,0,0,0,0.1217291810761814,0,0.12172918107617932,0,0,0,2.6179269229156133e-9,0,4.787210204678067e-9,1.583753497123473e-8,0,2.6179269229156133e-9,4.327404098033129e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o1,0.9,0.7,0.7,0.9,0.1,0.1,0.1,10,lowvariation_exp1,0,0,0,0,0,0,0,0.000029366845434368563,0.00007057578212140214,0,0.000003974370344626124,0,0.07226960089231518,0.00011162893136107998,0,0,0,0.5340041352406466,0,0.000029366845434368563,0,0,0,0.000003974370344626124,0,0,0,0,0.00019184486606988992,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000010803458687363665,0,0,0,0.000041065988887679514,0,0,0,0,0,0,0.000010803458687363665,0,0,0,0,0,0,0.000041065988887679514,0,0,0,0.000010803458687363665,0,0,0,0,0,0,0.000010803458687363665,0,0.00019184486606989138,0,0,0,0,0,0,0.19644914285556914,0,0.19644914285556728,0,0,0,0.000010803458687363665,0,0.000015107333043152267,0.000029366845434368563,0,0.000010803458687363665,0.000003974370344626124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o1,0.9,0.7,0.7,0.9,0.1,0.1,0.1,15,lowvariation_exp1,0,0,0,0,0,0,0,2.7259471216645513e-7,0.000001015582083191866,0,1.3571691571349638e-8,0,0.03327859370203064,0.0000020202105359194745,0,0,0,0.668418422553899,0,2.7259471216645513e-7,0,0,0,1.3571691571349638e-8,0,0,0,0,0.000004551523122272068,0,0,0,0,0,0,0,0,0,0,0,0,0,6.082410178131658e-8,0,0,0,4.5076990041325955e-7,0,0,0,0,0,0,6.082410178131658e-8,0,0,0,0,0,0,4.5076990041325955e-7,0,0,0,6.082410178131658e-8,0,0,0,0,0,0,6.082410178131658e-8,0,0.0000045515231222721205,0,0,0,0,0,0,0.14914430967061323,0,0.14914430967061112,0,0,0,6.082410178131658e-8,0,1.0058036006930304e-7,2.7259471216645513e-7,0,6.082410178131658e-8,1.3571691571349638e-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o1,0.9,0.7,0.7,0.9,0.1,0.1,0.1,18,lowvariation_exp1,0,0,0,0,0,0,0,1.583753497123473e-8,7.675818746954752e-8,0,4.327404098033129e-10,0,0.020121698296016757,1.7520344140197324e-7,0,0,0,0.7364186316425798,0,1.583753497123473e-8,0,0,0,4.327404098033129e-10,0,0,0,0,4.6435997419807174e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6179269229156133e-9,0,0,0,2.8960934076342212e-8,0,0,0,0,0,0,2.6179269229156133e-9,0,0,0,0,0,0,2.8960934076342212e-8,0,0,0,2.6179269229156133e-9,0,0,0,0,0,0,2.6179269229156133e-9,0,4.6435997419807815e-7,0,0,0,0,0,0,0.1217291810761814,0,0.12172918107617932,0,0,0,2.6179269229156133e-9,0,4.787210204678067e-9,1.583753497123473e-8,0,2.6179269229156133e-9,4.327404098033129e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
