noun,average_length,level
animal,6,super
bear,4,basic
bedsidetable,8.08,sub
bird,4,basic
blackbear,10,sub
candy,5.09,basic
car,3,basic
catfish,6.57,sub
clothing,8,super
clownfish,9,sub
coffeetable,8.5,sub
convertible,10.57,sub
daisy,5,sub
dalmatian,9,sub
diningtable,4,sub
dog,3.2,basic
dressshirt,11,sub
eagle,4.95,sub
fish,4,basic
flower,6.02,basic
furniture,9,super
germanshepherd,14.25,sub
goldfish,8,sub
grizzlybear,12,sub
gummybears,8.9,sub
hawaiishirt,8.25,sub
hummingbird,11.17,sub
husky,4.71,sub
jellybeans,9.6,sub
mnms,3.94,sub
minivan,5.64,sub
pandabear,5,sub
parrot,6,sub
picnictable,10.9,sub
pigeon,6,sub
plant,5,super
polarbear,8.6,sub
poloshirt,7,sub
pug,3,sub
rose,4,sub
shirt,5,basic
skittles,7.94,sub
snack,5,super
sportscar,9.17,sub
sunflower,9,sub
suv,3,sub
swordfish,7.75,sub
tshirt,7.2,sub
table,5,basic
tulip,4.45,sub
vehicle,7,super
