condition,t_t_sub,t_d1_sub,t_d2_sub,t_t_basic,t_d1_basic,t_d2_basic,t_t_super,t_d1_super,t_d2_super,length_sub,length_sub_label,length_basic,length_basic_label,length_super,length_super_label,p_s_sub,p_s_basic,p_s_super
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,3,LOW,3,LOW,3,LOW,0.9050602455,0.0846404716,0.0102992828
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,3,LOW,3,LOW,3,LOW,0.5852724599,0.4107555601,0.00397198
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,3,LOW,3,LOW,3,LOW,0.562165695,0.4124115838,0.0254227212
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,3,LOW,3,LOW,3,LOW,0.4459000055,0.3422922537,0.2118077409
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,3,LOW,3,LOW,7.029412,MED,0.9136982263,0.0854482883,0.0008534854
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,3,LOW,3,LOW,7.029412,MED,0.5874141366,0.4122586303,0.000327233
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,3,LOW,3,LOW,7.029412,MED,0.5755977858,0.4222655287,0.0021366855
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,3,LOW,3,LOW,7.029412,MED,0.5535152775,0.4249024208,0.0215823016
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,3,LOW,3,LOW,13.13,HIGH,0.9136982263,0.0854482883,0.0008534854
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,3,LOW,3,LOW,13.13,HIGH,0.5874141366,0.4122586303,0.000327233
